X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,month_sin,month_cos,day_sin,day_cos,is_weekend,is_peak_season,distance_to_center,dynamic_seasonal_hotspot_distance,moderate_wind_danger,hot_and_dry,double_drought,ISI_x_DC
2,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,1,3.0,6.082762530298219,1,1,1,8859.17
8,6,91.7,33.3,77.5,9.0,8.3,97,4.0,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,1,3.1622776601683795,2.23606797749979,1,0,0,697.5
4,3,91.9,111.7,770.3,6.5,15.9,53,2.2,0,-1.0,-1.8369701987210294e-16,0.9749279121818236,-0.2225209339563143,0,1,2.23606797749979,5.0,0,0,1,5006.95
8,6,91.4,37.9,673.8,5.2,20.2,37,2.7,0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0,0,3.1622776601683795,2.23606797749979,0,1,1,3503.76
6,6,96.0,164.0,643.0,14.0,30.8,30,4.9,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,1.4142135623730951,2.0,1,1,1,9002.0
6,5,92.0,203.2,664.5,8.1,19.1,70,2.2,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,1.0,2.23606797749979,0,0,1,5382.45
4,5,91.0,276.3,825.1,7.1,13.8,77,7.6,0,-1.0,-1.8369701987210294e-16,-2.4492935982947064e-16,1.0,1,1,1.0,4.123105625617661,0,0,1,5858.21
3,4,91.5,145.4,608.2,10.7,17.1,43,5.4,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,1,2.23606797749979,5.385164807134504,1,0,1,6507.74
6,5,92.6,115.4,777.1,8.8,24.3,27,4.9,0,-1.0,-1.8369701987210294e-16,0.4338837391175582,-0.900968867902419,0,1,1.0,2.23606797749979,1,1,1,6838.4800000000005
4,5,88.6,91.8,709.9,7.1,17.4,56,5.4,0,-1.0,-1.8369701987210294e-16,0.7818314824680298,0.6234898018587336,0,1,1.0,4.123105625617661,1,0,1,5040.29
6,5,94.3,131.7,607.1,22.7,19.4,55,4.0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,0,1,1.0,2.23606797749979,1,0,1,13781.17
1,2,91.0,166.9,752.6,7.1,18.5,73,8.5,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,1,5.0,8.06225774829855,0,0,1,5343.46
3,4,91.4,142.4,601.4,10.6,19.8,39,5.4,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,2.23606797749979,5.385164807134504,1,0,1,6374.839999999999
6,5,91.9,111.7,770.3,6.5,21.1,35,2.7,0,-1.0,-1.8369701987210294e-16,0.9749279121818236,-0.2225209339563143,0,1,1.0,2.23606797749979,0,1,1,5006.95
1,4,91.5,130.1,807.1,7.5,21.3,35,2.2,0,-1.0,-1.8369701987210294e-16,0.7818314824680298,0.6234898018587336,0,1,4.123105625617661,7.280109889280518,0,1,1,6053.25
7,4,91.8,170.9,692.3,13.7,23.7,40,1.8,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,2.23606797749979,2.23606797749979,0,1,1,9484.509999999998
8,6,92.3,85.3,488.0,14.7,20.8,32,6.3,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,3.1622776601683795,0.0,0,1,0,7173.599999999999
2,4,91.6,112.4,573.0,8.9,21.4,42,3.1,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,1,3.1622776601683795,6.324555320336759,0,0,1,5099.7
7,4,91.5,238.2,730.6,7.5,17.7,65,4.0,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,1,2.23606797749979,2.23606797749979,1,0,1,5479.5
2,5,92.6,46.5,691.8,8.8,15.4,35,0.9,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,1,0,3.0,4.0,0,0,1,6087.84
4,5,90.2,99.6,631.2,6.3,21.4,33,3.1,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,1.0,4.123105625617661,0,1,1,3976.56
6,4,75.1,4.4,16.2,1.9,5.1,77,5.4,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0,0,1.4142135623730951,1.0,1,0,0,30.78
3,4,90.1,51.2,424.1,6.2,24.6,43,1.8,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1,0,2.23606797749979,5.385164807134504,0,0,0,2629.42
3,4,83.9,8.0,30.2,2.6,12.7,48,1.8,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,2.23606797749979,3.1622776601683795,0,0,0,78.52
7,4,91.2,124.4,795.3,8.5,21.5,28,4.5,0,-1.0,-1.8369701987210294e-16,-0.7818314824680299,0.6234898018587334,1,1,2.23606797749979,2.23606797749979,1,1,1,6760.049999999999
4,6,84.4,27.2,353.5,6.8,4.8,57,8.5,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,1,1,1.4142135623730951,2.23606797749979,0,0,0,2403.8
