X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month_sin,month_cos,day_sin,day_cos,is_weekend,is_peak_season,distance_to_center,dynamic_seasonal_hotspot_distance,moderate_wind_danger,hot_and_dry,double_drought,ISI_x_DC
7,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,1,2.0,1.0,0,0,0,480.93
7,4,90.6,35.4,669.1,6.7,18.0,33,0.9,0,0.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0,0,2.23606797749979,1.4142135623730951,0,0,1,4482.97
7,4,90.6,43.7,686.9,6.7,14.6,33,1.3,0,0.0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,2.23606797749979,1.4142135623730951,0,0,1,4602.23
8,6,91.7,33.3,77.5,9.0,8.3,97,4.0,1,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,1,3.1622776601683795,2.23606797749979,1,0,0,697.5
8,6,89.3,51.3,102.2,9.6,11.4,99,1.8,0,0.0,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,1,1,3.1622776601683795,2.23606797749979,0,0,0,981.12
8,6,92.3,85.3,488.0,14.7,22.2,29,5.4,0,0.0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,3.1622776601683795,0.0,1,1,0,7173.599999999999
8,6,92.3,88.9,495.6,8.5,24.1,27,3.1,0,0.0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,1,3.1622776601683795,0.0,0,1,0,4212.6
8,6,91.5,145.4,608.2,10.7,8.0,86,2.2,0,0.0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,1,3.1622776601683795,0.0,0,0,1,6507.74
8,6,91.0,129.5,692.6,7.0,13.1,63,5.4,0,0.0,-1.0,-1.8369701987210294e-16,0.9749279121818236,-0.2225209339563143,0,1,3.1622776601683795,0.0,1,0,1,4848.2
7,5,92.5,88.0,698.6,7.1,22.8,40,4.0,0,0.0,-1.0,-1.8369701987210294e-16,-0.7818314824680299,0.6234898018587334,1,1,2.0,1.4142135623730951,1,1,1,4960.06
