X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month_sin,month_cos,day_sin,day_cos,is_weekend,is_peak_season,hot_and_dry,moderate_wind_danger,ISI_x_DC,double_drought
7,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,0,0,0,480.92999999999995,0
7,4,90.6,35.4,669.1,6.7,18.0,33,0.9,0,0.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,0,0,4482.97,0
7,4,90.6,43.7,686.9,6.7,14.6,33,1.3,0,0.0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,0,0,4602.23,0
8,6,91.7,33.3,77.5,9.0,8.3,97,4.0,1,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,0,0,1,697.5,0
8,6,89.3,51.3,102.2,9.6,11.4,99,1.8,0,0.0,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,1,0,0,0,981.12,0
8,6,92.3,85.3,488.0,14.7,22.2,29,5.4,0,0.0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,0,1,7173.599999999999,0
8,6,91.5,145.4,608.2,10.7,8.0,86,2.2,0,0.0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,1,0,1,6507.74,1
8,6,91.0,129.5,692.6,7.0,13.1,63,5.4,0,0.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,1,0,1,4848.2,1
7,5,92.5,88.0,698.6,7.1,17.8,51,7.2,0,0.0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1,1,0,0,4960.0599999999995,0
7,5,92.8,73.2,713.0,22.6,19.3,38,4.0,0,0.0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1,1,0,1,16113.800000000001,0
6,5,63.5,70.8,665.3,0.8,17.0,72,6.7,0,0.0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,1,0,0,532.24,0
6,5,90.9,126.5,686.5,7.0,21.3,42,2.2,0,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1,0,1,4805.5,1
6,5,92.9,133.3,699.6,9.2,26.4,21,4.5,0,0.0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,1,1,1,6436.32,1
6,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0,0.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,1,0,1,9923.21,1
5,5,91.7,35.8,80.8,7.8,15.1,27,5.4,0,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1,0,0,1,630.24,0
8,5,84.9,32.8,664.2,3.0,16.7,47,4.9,0,0.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0,1,1992.6000000000001,0
6,4,89.2,27.9,70.8,6.3,15.9,35,4.0,0,0.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,0,1,446.03999999999996,0
6,4,86.3,27.4,97.1,5.1,9.3,44,4.5,0,0.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1,0,0,1,495.2099999999999,0
6,4,91.0,129.5,692.6,7.0,18.3,40,2.7,0,0.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,1,0,1,4848.2,1
5,4,91.8,78.5,724.3,9.2,19.1,38,2.7,0,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1,0,1,6663.5599999999995,0
7,4,94.3,96.3,200.0,56.1,21.0,44,4.5,0,0.0,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,1,0,0,1,11220.0,0
7,4,90.2,110.9,537.4,6.2,19.5,43,5.8,0,0.0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,0,1,3331.88,1
7,4,93.5,139.4,594.2,20.3,23.7,32,5.8,0,0.0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,0,1,12062.260000000002,1
7,4,91.4,142.4,601.4,10.6,16.3,60,5.4,0,0.0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,1,1,0,1,6374.839999999999,1
7,4,92.4,117.9,668.0,12.2,19.0,34,5.8,0,0.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,1,0,1,8149.599999999999,1
7,4,90.9,126.5,686.5,7.0,19.4,48,1.3,0,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1,0,0,4805.5,1
6,3,93.4,145.4,721.4,8.1,30.2,24,2.7,0,0.0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1,1,1,1,5843.339999999999,1
6,3,93.5,149.3,728.6,8.1,22.8,39,3.6,0,0.0,-1.0,-1.8369701987210297e-16,-2.4492935982947064e-16,1.0,1,1,0,1,5901.66,1
6,3,94.3,85.1,692.3,15.9,25.4,24,3.6,0,0.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,1,1,1,11007.57,0
6,3,88.6,91.8,709.9,7.1,11.2,78,7.6,0,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1,0,0,5040.29,0
6,3,88.6,69.7,706.8,5.8,20.6,37,1.8,0,0.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0,1,0,0,4099.44,0
6,3,91.8,78.5,724.3,9.2,21.2,32,2.7,0,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1,0,1,6663.5599999999995,0
6,3,90.3,80.7,730.2,6.3,18.2,62,4.5,0,0.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0,1,0,1,4600.26,0
6,3,90.6,35.4,669.1,6.7,21.7,24,4.5,0,0.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,0,1,4482.97,0
7,4,90.0,41.5,682.6,8.7,11.3,60,5.4,0,0.0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,0,0,1,5938.62,0
7,3,90.6,43.7,686.9,6.7,17.8,27,4.0,0,0.0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,0,1,4602.23,0
4,4,88.1,25.7,67.6,3.8,14.1,43,2.7,0,0.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0,0,0,1,256.87999999999994,0
4,4,79.5,60.6,366.7,1.5,23.3,37,3.1,0,0.0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0,0,0,1,550.05,0
4,4,90.2,96.9,624.2,8.9,18.4,42,6.7,0,0.0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1,1,0,0,5555.380000000001,0
4,4,94.8,108.3,647.1,17.0,16.6,54,5.4,0,0.0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0,1,0,1,11000.7,1
4,4,92.5,88.0,698.6,7.1,19.6,48,2.7,0,0.0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1,1,0,1,4960.0599999999995,0
4,4,90.1,82.9,735.7,6.2,12.9,74,4.9,0,0.0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,1,0,1,4561.34,0
5,6,94.3,85.1,692.3,15.9,25.9,24,4.0,0,0.0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0,1,1,1,11007.57,0
5,6,90.9,126.5,686.5,7.0,14.7,70,3.6,0,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0,1,0,1,4805.5,1
6,6,94.2,62.3,442.9,11.0,23.0,36,3.1,0,0.0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,0,0,0,1,4871.9,0
4,4,87.2,23.9,64.7,4.1,11.8,35,1.8,0,0.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,0,0,0,265.27,0
4,4,87.6,52.2,103.8,5.0,11.0,46,5.8,0,0.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,0,0,1,519.0,0
4,4,92.9,137.0,706.4,9.2,20.8,17,1.3,0,0.0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0,1,0,0,6498.879999999999,1
