iter	Huber:delta=1.5
0	15.81725631
1	15.77882383
2	15.74169542
3	15.69831139
4	15.65995815
5	15.62989966
6	15.6042501
7	15.57728054
8	15.55340811
9	15.53426245
10	15.51150089
11	15.49331756
12	15.47856649
13	15.45298376
14	15.43891346
15	15.42401918
16	15.40654639
17	15.39141526
18	15.36811621
19	15.3563752
20	15.34607632
21	15.32844599
22	15.30998976
23	15.30092339
24	15.28943925
25	15.28022666
26	15.27285709
27	15.25379935
28	15.23890701
29	15.22681536
30	15.21732751
31	15.20864589
32	15.19232244
33	15.1807822
34	15.1713572
35	15.16030347
36	15.14994159
37	15.139211
38	15.12984645
39	15.12385003
40	15.120286
41	15.11349751
42	15.10437063
43	15.09955051
44	15.09049394
45	15.08429044
46	15.07786627
47	15.07312205
48	15.06867924
49	15.06506228
50	15.06023715
51	15.05598153
52	15.052046
53	15.04537848
54	15.03985884
55	15.03823013
56	15.03429581
57	15.03005592
58	15.02674624
59	15.01889615
60	15.0143283
61	15.01066662
62	15.00423526
63	15.0011764
64	14.99815856
65	14.98953735
66	14.9866137
67	14.98425424
68	14.97934028
69	14.97608077
70	14.97160795
71	14.96738165
72	14.96373904
73	14.95907921
74	14.95458231
75	14.95235396
76	14.94906418
77	14.94752928
78	14.94535021
79	14.93882313
80	14.93542585
81	14.93403471
82	14.93034997
83	14.92663643
84	14.9237455
85	14.92065047
86	14.91436004
87	14.91123901
88	14.90559985
89	14.90214426
90	14.8991506
91	14.89508997
92	14.89375173
93	14.88834812
94	14.88600143
95	14.88441126
96	14.88154617
97	14.87504043
98	14.86527905
99	14.86065968
100	14.85561513
101	14.852961
102	14.85123983
103	14.8450307
104	14.84161446
105	14.83597649
106	14.83165277
107	14.82876004
108	14.8275544
109	14.82522351
110	14.81787333
111	14.81290953
112	14.81151737
113	14.80581458
114	14.80132347
115	14.80008286
116	14.79809474
117	14.79438832
118	14.79246576
119	14.78647354
120	14.78236408
121	14.77680262
122	14.7695496
123	14.76427566
124	14.76079147
125	14.75721671
126	14.75482886
127	14.75118039
128	14.74726856
129	14.74016568
130	14.73722547
131	14.73353111
132	14.7298199
133	14.72634006
134	14.72312311
135	14.72037622
136	14.71711958
137	14.71253347
138	14.70479319
139	14.70131803
140	14.70049883
141	14.69624043
142	14.69326646
143	14.69065975
144	14.68512845
145	14.67430919
146	14.6723727
147	14.66082422
148	14.65902282
149	14.6562297
150	14.65117415
151	14.64854647
152	14.64106649
153	14.63604204
154	14.62753286
155	14.61223187
156	14.60842281
157	14.60583542
158	14.60212151
159	14.59836358
160	14.59587856
161	14.59423484
162	14.58458352
163	14.58087642
164	14.5732221
165	14.57070382
