iter	Passed	Remaining
0	0	200
1	1	173
2	2	165
3	2	156
4	3	149
5	4	145
6	4	141
7	5	142
8	6	140
9	6	139
10	7	138
11	8	137
12	8	137
13	9	135
14	9	133
15	10	132
16	11	132
17	11	131
18	12	129
19	12	128
20	13	126
21	14	125
22	14	125
23	15	126
24	16	125
25	17	125
26	17	125
27	18	125
28	19	124
29	19	123
30	20	122
31	20	121
32	21	122
33	22	122
34	23	121
35	24	121
36	24	122
37	25	122
38	26	121
39	27	121
40	27	120
41	28	120
42	29	120
43	30	121
44	31	121
45	33	125
46	34	125
47	35	125
48	36	125
49	37	125
50	38	125
51	39	126
52	40	126
53	41	126
54	42	126
55	43	126
56	44	126
57	45	125
58	47	127
59	48	127
60	49	127
61	50	126
62	51	126
63	52	125
64	53	125
65	54	124
66	55	123
67	56	123
68	56	122
69	57	122
70	58	121
71	59	120
72	60	120
73	61	120
74	62	119
75	64	120
76	65	119
77	66	118
78	67	118
79	67	117
80	69	116
81	69	115
82	70	115
83	71	114
84	72	113
85	73	112
86	74	111
87	75	111
88	76	110
89	77	109
90	78	109
91	79	108
92	79	107
93	81	106
94	81	106
95	82	105
96	83	104
97	84	103
98	85	102
99	85	101
100	86	100
101	87	99
102	87	98
103	88	97
104	89	96
105	90	95
106	91	94
107	91	93
108	92	92
109	93	92
110	94	91
111	95	90
112	96	89
113	97	88
114	98	87
115	98	86
116	99	85
117	100	85
118	101	84
119	101	83
120	102	82
121	103	81
122	104	80
123	104	79
124	105	78
125	106	77
126	107	77
127	108	76
128	109	75
129	110	74
130	110	73
131	111	72
132	112	71
133	113	71
134	114	70
135	115	69
136	115	68
137	116	67
138	117	66
139	117	65
140	118	64
141	119	63
142	120	63
143	121	62
144	122	61
145	123	60
146	124	59
147	124	59
148	125	58
149	126	57
150	127	56
151	128	55
152	129	55
153	130	54
154	131	53
155	132	52
156	133	51
157	133	50
158	134	50
159	135	49
160	136	48
161	137	47
162	138	46
163	139	45
164	140	45
165	141	44
166	142	43
167	143	42
168	144	41
169	145	41
170	146	40
171	146	39
172	147	38
173	148	37
174	149	36
175	150	35
176	151	35
177	152	34
178	152	33
179	153	32
180	154	31
181	155	30
182	156	29
183	157	29
184	158	28
185	159	27
186	160	26
187	161	25
188	161	24
189	162	23
190	163	23
191	164	22
192	165	21
193	165	20
194	166	19
195	167	18
196	168	17
197	169	17
198	170	16
199	171	15
200	171	14
201	172	13
202	173	12
203	174	11
204	174	11
205	175	10
206	176	9
207	177	8
208	178	7
209	179	6
210	180	5
211	180	5
212	181	4
213	182	3
214	183	2
215	184	1
216	184	0
217	185	0
