Complexity,Loss,Equation
1,5.957763,"0.47904128"
3,5.9462543,"x2 / x8"
4,5.9442263,"exp(x10 / x8)"
5,5.928623,"(x10 / x8) * 3.447577"
6,5.9160013,"exp(x10 / x8) - 0.7015707"
8,5.911114,"(exp(x10 / x8) - 0.88457155) * 1.593806"
10,5.907834,"((exp(x10 / x8) - 0.38752872) / 5.090662) * x10"
11,5.9049296,"(2.2879298 * ((x10 / x8) * (x10 / x8))) - -0.45272672"
12,5.9022145,"(x10 * (((x10 / x8) * log(x10)) / x8)) - -0.4248822"
14,5.8964896,"(x10 * ((x10 / x8) * ((log(x10) / x8) - -0.112094484))) - -0.45272672"
16,5.895824,"((x10 * (x10 / x8)) * (log((x10 * x10) / x8) / x8)) - -0.45272672"
17,5.894723,"(((x10 * x10) / x8) * (log(x10 * (x10 / exp(1.2458934))) / x8)) - -0.45272672"
18,5.890608,"(((x10 * x10) / x8) * ((log((x10 * x10) / 3.439452) / x8) - 0.06119295)) - -0.4380117"
