Complexity,Loss,Equation
1,6.267885,"0.7015843"
2,6.2658434,"log(x1)"
3,6.2553577,"x2 / x8"
4,6.2541966,"exp(x11 / 2.6900268)"
5,6.234016,"(x2 + x2) / x8"
7,6.226743,"((x2 + x2) / x8) + x11"
9,6.0918617,"2.7538543 / (((x1 - 1.779871) * -0.4652097) + 2.9048793)"
10,6.0815315,"x5 * (0.038775444 / ((log(x5) - x1) + 2.7729325))"
11,6.0202894,"(1.779871 / (((x1 - 1.779871) * -0.4652097) + 2.9048793)) - -0.727124"
12,5.9160733,"x5 * (0.038775444 / (((log(x5) - x1) + 2.7729325) * 1.5711156))"
14,5.891105,"((0.038775444 / ((log(x5 - -0.48769656) - x1) + 2.7729325)) * 0.7475886) * x5"
16,5.8838325,"(x5 * ((0.038775444 / ((log(x5 - -0.48769656) - x1) + 2.7729325)) * 0.7475886)) + x11"
