Complexity,Loss,Equation
1,4.0840383,"0.6104681"
3,4.07349,"x2 / x8"
4,4.0349913,"exp(x2 / x8)"
5,3.9922757,"x2 / (x8 - 3.9376554)"
7,3.9835737,"(x2 / (x8 + -3.9376786)) + x11"
9,3.9818323,"(x2 / (x8 + -3.9323604)) + (x11 - -0.12596151)"
13,3.9795759,"(((-0.85440964 / x2) + (x2 / (x8 + -3.9252117))) + 0.37025145) + x11"
14,3.9743836,"log(exp((exp(x11) / x9) + (x2 / (x8 + (-5.9930296 - -2.0496593)))))"
16,3.9734125,"log(exp((x2 / ((x8 + -6.0583057) - -2.1207936)) + (exp(x11) / x9)) + 0.13892856)"
17,3.9692998,"(x2 / (((x2 + (x8 - x2)) - (0.5582284 / (x2 - 3.6416855))) + -3.853628)) + x11"
