Complexity,Loss,Equation
1,11.633866,"1.1980659"
3,11.607296,"x11 + 1.1934402"
4,11.600157,"exp(x11 * 0.37149093)"
5,11.597931,"(x11 * 1.4464854) + 1.1865526"
6,11.588946,"exp(x11 * 0.3686233) + 0.18681666"
7,11.456258,"exp(exp(x10 - (x8 * 1.6177527)))"
8,11.418581,"exp(exp(log(x2) - (x8 * 0.29552907)))"
10,11.392688,"exp(exp((x10 * 0.3044499) - log(x8 - x11)))"
12,11.376605,"exp((x10 * 2.0547073) * (exp(log(x8) * -1.0585448) - 0.033073325))"
13,11.373076,"exp(exp(log(x8) * -1.2485244) * ((x10 - log(x8)) * 2.8020787))"
