Complexity,Loss,Equation
1,4.0840383,"0.6102656"
3,4.0743585,"x2 * 0.11696341"
4,4.0732307,"exp(0.3712568 * x11)"
5,4.0656223,"x11 + (x2 * 0.116640024)"
6,4.0216527,"(exp(x2) * 0.00010009435) + 0.10901119"
7,4.0155177,"exp(exp(x2 * 0.15287429) + -3.7961712)"
10,4.0093093,"(0.22820303 + x11) + (exp(x2) * (x2 * 7.2362077e-6))"
12,3.9955194,"exp(exp((log(x5 + x4) - x8) - 0.22041433) * 2.7226777)"
14,3.9772878,"exp(log(exp(exp(log(x5 + x4) - x8) - 0.22041433)) * 2.7226777)"
16,3.9771278,"exp((exp(log(x4 + x5) - x8) - 0.22041433) * log(exp(2.7226777))) - 0.031336293"
17,3.9718435,"exp((log(exp(exp(log(x7 + x4) - (x8 - 0.14530328)))) * log(x5)) - 0.695567)"
19,3.9691968,"exp((exp(log(exp(log(x4 + x7) - (x8 - 0.114803195)))) * log(x5 - -2.248093)) - 0.58075917)"
