Complexity,Loss,Equation
1,6.267885,"0.7011069"
2,6.2658434,"log(x1)"
3,6.256411,"x5 * 0.00918345"
4,6.2541966,"exp(x11 * 0.3718822)"
5,6.249139,"x11 + (x5 * 0.009216266)"
6,6.2471466,"(exp(x11) + x5) * 0.008558309"
7,6.2415175,"log(exp(x2 - 7.90561) + 1.3209858)"
8,6.216974,"(x0 + exp(x1 - x0)) * 0.14238763"
10,6.2142954,"(exp((x1 - x0) * 1.176827) + x0) * 0.0991909"
14,6.2116933,"log(exp(exp(log((exp(x1 - x0) + (x0 + -2.620097)) * 0.20252655))))"
15,6.20794,"((exp(x1 - x0) + x0) * log(log(log(x5 + 7.9513855)))) * 0.30423126"
16,6.2056823,"(log(log(log(exp(x0) + x5))) * 0.29479817) * (x0 + exp(x1 - x0))"
