Complexity,Loss,Equation
1,15.680472,"1.2136122"
3,15.666185,"x11 + 1.2087668"
4,15.665103,"exp(x11 * 0.3710878)"
5,15.6615095,"(x11 * 1.4064628) + 1.2051458"
6,15.642825,"exp(4.3489294 - x8) + 1.1972532"
7,15.632651,"exp(exp(1.3081485 - (x8 * 0.21839775)))"
8,15.473516,"exp((x10 - x8) * 0.7184021) + 1.1678205"
10,15.459115,"exp((x10 - x8) * 0.7185099) + (x11 + 1.1624647)"
12,15.4582205,"exp((x10 - x8) * 0.7184021) + ((x11 * 1.0651209) + 1.1678205)"
13,15.445093,"exp((x10 * 0.7127892) - (x8 - exp(x7 * 0.07020513))) + 1.2583942"
