Complexity,Loss,Equation
1,11.633866,"1.1982993"
3,11.607296,"x11 + 1.1933353"
5,11.460306,"exp(exp(5.6539392 - x8))"
7,11.433095,"exp(exp(5.6539392 - x8)) + x11"
8,11.414061,"exp(x2 + (-4.508528 - x8)) + 1.2952514"
9,11.341273,"exp((log(x6) - x8) + 1.6395568) + 1.2051662"
10,11.336,"exp(exp((log(x2 + x7) + 3.0186696) - x8))"
11,11.333368,"exp(exp(-0.646395 - x8) * ((x6 + -0.014854133) * 1.6513077))"
12,11.291862,"exp(exp(log(x2 + (x7 * 0.9213601)) + (2.9977095 - x8)))"
14,11.201559,"exp((x1 * 0.3545787) * ((x0 - (x7 * 0.53973883)) - x1)) + 1.0868566"
19,11.060543,"(exp(x11 + (-3.7908077 - x1)) * exp((x0 - (x7 * 0.48797232)) + (x0 - x1))) + 1.1420157"
20,11.0309105,"(exp(x0 + ((x0 - (x7 * 0.44282004)) - x1)) * exp(x11 + (-3.4983342 - log(x4)))) + 1.1115271"
