Complexity,Loss,Equation
1,5.957763,"0.47965625"
3,5.9524727,"x0 * 0.15461354"
6,5.9407616,"exp(x8 * -0.10782042) * x10"
7,5.9330225,"exp(exp((x7 + -0.2414763) - x5))"
8,5.912235,"exp((x8 * -1.332347) + x10) + 0.47105345"
9,5.9101014,"log(exp((x8 * -0.5540474) + x10) + 1.5621201)"
10,5.898669,"exp((x10 + (x8 * -0.77170044)) * 0.45443025) - -0.44224638"
11,5.8915095,"log(exp((x10 + x1) + (-0.98721015 - x8)) - -1.5656328)"
13,5.891457,"log(exp((x10 + (-3.1163554 - x8)) + (x1 + 2.2152746)) - -1.5694022)"
14,5.8607936,"exp((x3 * x1) - ((x0 * x0) * (x3 * x3))) + 0.43145543"
16,5.732264,"exp((x3 * x1) - (x3 * ((x3 * (x0 * x0)) + -0.46990648))) + 0.44762382"
18,5.7319016,"(exp((x3 * x1) - (x3 * (((x0 * x0) * x3) + -0.46891925))) + 0.43145543) - x11"
20,5.7281003,"(x0 * 0.14635944) + exp((x1 - (((x3 * -1.1574167) + ((x3 * x0) + x3)) * x0)) * x3)"
22,5.7275705,"(x0 * 1.6273367) * (exp(x3 * (x1 - ((x3 * -1.1029061) + (((x0 * x3) + x3) * x0)))) + 0.08944226)"
