Complexity,Loss,Equation
1,4.0840383,"0.6093726"
3,4.0743585,"x2 * 0.11696763"
4,4.030431,"exp(x2) * 0.00010789373"
6,4.012849,"0.38663855 - (-7.504744e-5 * exp(x2))"
8,4.0041304,"(0.38663855 - (-7.504744e-5 * exp(x2))) + x11"
10,3.9995599,"(x11 + 0.37659657) * ((exp(x2) * 0.00020826915) - -0.91786367)"
13,3.9961417,"(((x11 - exp(x2)) * -7.504744e-5) + exp(x11 * 0.3749003)) - 0.63992405"
14,3.9958239,"((exp(x3) - exp(x2)) * -8.1488535e-5) + (exp(x11 * 0.3785789) - 0.6309298)"
15,3.9957814,"(-7.504744e-5 * ((2.0904918 - x6) - exp(x2))) + (exp(x11 * 0.3749003) - 0.63992405)"
18,3.9952276,"((0.023353925 * (exp(x3) - exp(-0.13680837 + x2))) * -0.0034892864) + (exp(x11 * 0.3785789) - 0.6309298)"
