Complexity,Loss,Equation
1,5.957763,"0.4795136"
3,5.9524727,"x0 * 0.15457642"
5,5.9488816,"exp(2.358251 - log(x8))"
6,5.9462543,"exp(log(x2) - log(x8))"
7,5.929381,"exp(1.0994642 - log(x8)) * x10"
8,5.928683,"exp(exp(0.24225026) - log(x8)) * x10"
9,5.9193006,"(x10 * exp(-0.89449084 - log(x8))) * x2"
10,5.861673,"exp(exp(1.5547533 - log(x0 * x3)) - 1.368862)"
12,5.8576956,"exp(exp(1.2217238 - (log(x3 * x0) * x2))) - 0.5290426"
14,5.852127,"exp(exp(1.2229971 - (log(x3 * x0) * (x3 + x3)))) - 0.52751195"
19,5.8510613,"exp(exp(1.2229971 - (log(x3 * x0) * (log(x3 * x0) * (x7 + x3))))) - 0.52751195"
23,5.829059,"exp(exp(1.2229971 - (log(x0 * x3) * exp(1.2229971 - (log(exp(-1.8792778) * x0) * (x3 + x3)))))) - 0.52751195"
