Complexity,Loss,Equation
1,11.70236,"0.8583082"
3,11.697681,"x1 * 0.21353208"
4,11.695753,"log(x1) * 0.631778"
5,11.692038,"log(log(x2 + x0))"
6,11.660829,"exp(x0 - x8) + 0.8278312"
7,11.651908,"exp(exp(x10 - (x8 + 3.0493827)))"
8,11.625606,"exp(x10 - (x8 + 1.631687)) + 0.8407399"
9,11.58213,"log(exp((x10 * 1.637641) - x8) - -2.2204623)"
11,11.576837,"log(exp((x10 + (1.9483286 - x8)) * 1.6522638) + 2.2281687)"
12,11.572207,"log(2.2772422 + exp((x10 + (1.9422729 - x8)) * log(x1)))"
13,11.553659,"log(exp((2.679902 + (x10 - x8)) * (0.377279 * x7)) + 2.1860104)"
14,11.511104,"(exp(x1 - (x3 - ((1.0975747 - x0) * 3.6095967))) - -0.18940304) * x0"
17,11.503903,"exp(((2.645345 - (x3 - (log(x6) * (1.1116302 - x0)))) * x3) + 0.95939) - -0.83924305"
18,11.496066,"x1 * ((exp(2.5357337 - (((x3 - (1.092325 - x0)) + -1.0016168) * x10)) * 0.43484607) - -0.194985)"
