Complexity,Loss,Equation
1,12.300051,"0.950054"
2,12.299753,"log(x1)"
3,12.285487,"x11 + 0.9496721"
4,12.270629,"exp(x11 * 0.3712662)"
5,12.266153,"x2 * (x1 * 0.03738497)"
6,12.248132,"(exp(x8) * 6.2679896e-14) + 1.1855098"
7,12.114466,"exp(exp((x10 - x8) * 0.2753442))"
8,12.105301,"exp((x10 - x8) * 0.73919165) + 0.9215856"
9,12.09992,"exp(exp((x10 - x8) * 0.2753442)) + x11"
10,12.095616,"(exp((x10 * 0.87920684) - x8) + 0.91850144) + x11"
11,12.08199,"exp(exp((((x10 + 0.35569438) - x8) * 0.25152913) + x11))"
14,12.080121,"exp(exp(exp(x1 - (x10 + x0)) + ((x10 - x8) * 0.27479926)))"
15,12.0780325,"(exp(exp(((x10 + (0.35569438 - x8)) * 0.25152913) + x11)) - -0.6743968) + -0.81193197"
16,12.007565,"exp(exp(((x1 * 0.5113518) - exp((x2 * -1.3567675) + (x1 + 0.85165405))) - 2.317194))"
