Complexity,Loss,Equation
1,5.4353604,"0.5279024"
3,5.43006,"x2 * 0.105856925"
5,5.425419,"x11 + (x2 * 0.105856925)"
6,5.3994737,"exp(x8 - 29.874973) + 0.5123628"
7,5.3882732,"exp(exp((x10 * 0.66170514) - x8))"
8,5.3599267,"exp((x10 - x8) * 0.731717) + 0.48971707"
10,5.352621,"exp(((x10 - x8) * 0.5455565) - -0.7143481) - -0.47419775"
12,5.346849,"(x11 + (exp((x10 - x8) * 0.60382473) + 0.29078937)) * 1.64812"
14,5.345436,"exp(((x10 - x8) * 0.54345065) - -0.7221783) + ((x11 + 0.29818016) * 1.585043)"
15,5.3449855,"(exp(((x10 - x8) * 0.54172486) - -0.728285) + x11) + (log(x6) * 0.08622902)"
16,5.341561,"(exp(((x10 - x8) * 0.51787734) - -0.7600489) + x11) + ((x1 * 0.020636175) * x2)"
17,5.3395877,"(log(x6) * 0.08160553) + exp(((x11 * 1.871014) - -0.98129517) + ((x10 - x8) * 0.47547123))"
18,5.3389864,"log(log(x6) * 0.35702187) + exp(((x10 - x8) * 0.5444098) + ((x11 * 2.1564243) - -0.7203551))"
19,5.338098,"(log(x6) * 0.09057571) + (exp(((x10 - x8) * 0.56737584) + ((x11 * 2.2483957) - -0.638614)) - 0.01210829)"
20,5.3373294,"exp((((x10 - x8) * 0.49901253) + (x11 * 1.9711319)) - -0.8801697) + log((log(x6) * 0.30090207) - -0.0431802)"
