Complexity,Loss,Equation
1,9.221483,"-2.104664"
3,9.197075,"-2.1005695 - x11"
4,9.128104,"-4.189881 / sqrt(x1)"
5,8.824542,"abs(sin(x9)) * -3.0862248"
6,8.768257,"-0.102987364 - exp(abs(sin(x9)))"
7,8.748649,"-0.64603704 - (abs(sin(x9)) * 2.2653015)"
8,8.724295,"(-0.52295357 / x10) - exp(abs(sin(x9)))"
9,8.702844,"-0.6506781 - abs(sin(x9) / (0.44597194 - x11))"
10,8.593033,"-0.27503255 - abs((sin(x9) * 2.67089) + sin(x0))"
12,8.497974,"-0.28965843 - abs(((sin(x9) * 2.7138352) - 0.29194823) + sin(x0))"
14,8.448453,"-0.28965843 - abs(sin(x0) + ((sin(x9) * 2.7138352) - (x3 ^ -0.9818676)))"
15,8.441528,"(sin(x9) - abs(((sin(x9) * 4.1559286) + sin(x0)) - -0.3508075)) * 0.75028104"
16,8.372798,"(-0.52382916 / (x1 - 1.6193373)) - abs(((sin(x9) * -2.690464) + 0.2823135) - sin(x0))"
17,8.309771,"-0.526711 - abs((abs(sin(x9 / (-0.42008278 - x0))) + -0.76311684) - (sin(x9) * -2.4355433))"
18,8.250221,"(-0.52382916 / (x1 - 1.6193373)) - abs(((x0 / x5) - sin(x0)) + (sin(x9) * -2.690464))"
19,8.014567,"(-0.056950074 - abs((-0.9952303 * sin(x9)) - (abs(sin(x9 / (x0 - -0.41644076))) + -0.72275376))) / 0.3542308"
23,7.879143,"-0.056950074 - abs(((1.47841 / x5) + ((-0.9952303 * sin(x9)) - (abs(sin(x9 / (-0.41644076 - x0))) + -0.72275376))) / 0.3542308)"
25,7.829328,"-0.09521273 - abs((((0.26902065 / x5) * 6.841189) + (sin(x9 * -0.9993704) - (abs(sin(x9 / (-0.41508237 - x0))) + -0.67216))) / 0.34389552)"
26,7.814747,"(-0.056950074 - abs((x2 / (x5 * log(x8))) + ((-1.0268935 * sin(x9)) - (abs(sin(x9 / (-0.41644076 - x0))) + -0.72275376)))) / 0.3542308"
27,7.7961826,"-0.042166144 - abs((((x2 / ((x5 + x5) / 1.1632248)) + sin(x9 * -0.9991884)) - (abs(sin(x9 / (-0.41581988 - x0))) + -0.65424055)) / 0.33619457)"
28,7.78166,"-0.04775449 - abs(((sin(x9 * -0.99944437) - (abs(sin(x9 / (-0.4158127 - x0))) + -0.6426852)) / 0.33733922) + (x2 / ((sin(x4) - x5) * -0.49062783)))"
29,7.7707295,"(x11 * -1.4864042) - abs(((sin(x9 * -0.99962366) - (abs(sin(x9 / (x0 - -0.4159158))) + -0.65608865)) / 0.33364367) + (x2 / (-0.3380536 - (x5 * -0.6098929))))"
