Complexity,Loss,Equation
1,9.132354,"-2.0304694"
3,9.04306,"-184.86311 / x4"
5,8.990253,"(-1.5275544 / x7) + -1.77735"
6,8.683729,"cos(x6 ^ 3.5106492) - 2.0137255"
7,8.681933,"cos(x6 ^ 3.5106492) - abs(-1.952589)"
8,8.450425,"cos((x0 ^ 3.6043992) - x6) - 2.0558758"
10,8.284615,"cos((1.0899504 - x6) + (x0 ^ 2.3942223)) - 1.9964867"
12,8.217756,"(cos((x0 ^ 2.3939493) + (1.1554352 - x6)) - 1.4531392) * 1.363498"
14,8.170832,"cos((x0 ^ 2.3941786) + (1.1673944 - x6)) + ((-1.3548378 / x7) - 1.7650437)"
15,8.063684,"(cos((x0 ^ 2.3938084) + (1.20017 - x6)) - 1.9992269) - sin(x0 + x10)"
17,7.954176,"(cos(x6 - ((x0 ^ 2.3947399) + 1.1743827)) - 2.0794444) - sin((3.2128885 - x9) / 0.55717266)"
18,7.8982644,"(cos(((x0 ^ 2.393698) - x6) + 1.1347711) - 1.9507855) - sin(log(x6) + (x0 + x10))"
19,7.8982625,"(cos((abs(-1.1358572) + (x0 ^ 2.3936985)) - x6) - 1.9507855) - sin(log(x6) + (x0 + x10))"
20,7.76313,"cos(((x0 ^ 2.3935182) - x6) + 1.1856475) - (1.9992269 - sin((x2 / log(x8)) + (x10 + x0)))"
22,7.7071867,"((cos(1.1791213 + ((x0 ^ 2.3935182) - x6)) * 1.4216326) - 1.9992269) - sin(x10 + (x0 + (log(x6) + -0.5683984)))"
24,7.684048,"(cos((x0 ^ 2.3935182) - ((-1.9867295 / x10) + (x6 * 0.9989562))) - 1.9992269) - sin((x0 + x10) + (log(x6) + -0.6261224))"
25,7.598465,"cos(x6 - ((x0 ^ 2.3931956) + 1.141307)) - (2.003775 - sin(((x0 + log(x6)) + x10) + (sqrt(x5) / (x8 ^ 0.4597333))))"
28,7.593987,"(cos(x6 - (1.1665539 + (x0 ^ 2.3923979))) - (2.0206225 - sin(x0 + (log(x6) + (x10 + (sqrt(x5) / log(x8 ^ 1.2803736))))))) / 0.9751929"
