Complexity,Loss,Equation
1,9.144608,"-2.0403318"
4,9.004318,"log(x2) - 3.9585333"
5,8.984184,"(x2 * 0.17246164) + -3.3118246"
6,8.882832,"sin(x8 ^ 0.5795793) + -1.6190315"
7,8.703395,"cos(exp(x0) * x5) - 2.0110648"
10,8.635088,"sin((x1 ^ x10) + (x0 + -8.378899)) + -2.0758245"
12,8.320841,"sin((x0 + (x8 * -0.11564033)) + (x1 ^ x10)) + -2.1181705"
14,8.266681,"sin((x8 * -0.115671754) + (x0 + ((x11 + x1) ^ x10))) + -2.1181705"
16,8.206738,"(sin(x0 + ((x8 * -0.113556) + ((x11 + x1) ^ x10))) + -1.5882492) * 1.3527558"
18,8.122783,"(-3.6203177 / x2) + (sin((x1 ^ x10) + (x0 + (x8 * (-0.10719551 + x11)))) + -1.4556628)"
25,8.1131315,"(cos((x7 * x8) * 0.16314359) - ((sqrt(sqrt(x3)) - cos((x10 * exp(sqrt(x5) - 10.066779)) + x2)) / 0.9137414)) - 0.32521313"
27,8.103287,"((cos(x7 * (0.16310082 * x8)) * 0.9137415) - ((sqrt(sqrt(x3)) - cos(x2 + (exp(sqrt(x5) - 10.06678) * x10))) / 0.9137415)) - 0.32521313"
28,8.095045,"(cos(x8 * (x7 * 0.16310553)) - ((sqrt(sqrt(x3)) - cos(x2 + (x10 * exp(sqrt(x5) - 10.06678)))) / cos(x7 / x8))) - 0.16310553"
29,8.089486,"((0.92080706 * cos((x7 * 0.16310082) * (x8 - -0.081378035))) - ((sqrt(sqrt(x3)) - cos(x2 + (x10 * exp(sqrt(x5) - 10.06678)))) / 0.9137415)) - 0.32521313"
