Complexity,Loss,Equation
1,3.250116,"-0.8861283"
3,3.1718962,"-8.40663 / x2"
5,3.1091177,"-0.594449 / abs(sin(x0))"
6,3.072477,"-1.0643705 / (sin(x9) + 1.2042346)"
7,3.0480194,"abs(sin(x9) + -0.33931038) / -0.3086353"
8,2.9639513,"(cos(x6 - x0) / 0.43035758) - 2.0087652"
10,2.8297677,"(sin((x0 - x6) + 0.8935397) - 0.7562794) / 0.3885385"
12,2.7074077,"(cos(((4.611201 ^ x0) - 2.09306) - x6) + -0.85923314) / 0.4312174"
13,2.678989,"(-0.852065 + cos(((4.6111994 ^ x0) - sqrt(x10)) - x6)) / 0.41753885"
14,2.6772346,"(-0.852065 + cos(((4.6111994 ^ x0) - sqrt(x10)) - x6)) / abs(-0.40807196)"
15,2.6578937,"(cos(((4.611182 ^ x0) - sqrt(x10 - 0.87719977)) - x6) / 0.37532255) + -1.9749899"
17,2.6578872,"(cos(((4.611182 ^ x0) - sqrt(x10 - 0.87719977)) - x6) / 0.37779638) + (-1.5004961 - 0.46787798)"
18,2.6569057,"((cos(((4.611182 ^ x0) - sqrt(x10 - exp(-0.11297636))) - x6) / 0.37779638) - 0.46787798) + -1.5004961"
19,2.6446629,"(cos(x6 - ((4.611182 ^ x0) - sqrt(x10 - 0.87719977))) / 0.37779638) + (-1.9749899 - (x3 / x5))"
21,2.6415625,"(-1.9749899 - (x3 / (x6 / x7))) + (cos(((4.611182 ^ x0) - sqrt(x10 - 0.87719977)) - x6) / 0.37779638)"
