Complexity,Loss,Equation
1,0.99999964,"-0.000107506516"
3,0.9937828,"-0.46799335 ^ x2"
4,0.9827345,"cos(x9) * -0.18706715"
6,0.9409983,"sin(x9 / -0.5075882) * 0.35973576"
8,0.93586737,"(sin(x9 / 0.50760114) * x3) * -0.07820221"
9,0.92972934,"(sin(x9 / -0.46872982) - cos(x9)) / x1"
11,0.92370856,"((sin(x9 / -0.46877572) - cos(x9)) / x1) - x11"
12,0.9187199,"(sin(x9 / -0.46872982) - cos(x9)) / (x1 - cos(x7))"
14,0.9138493,"(sin(x9 / -0.46897238) - cos(x9)) / (x1 - cos(x7 + 0.5860126))"
16,0.89035743,"sin(x9 / -0.46767402) * (abs(sin((x0 + (x0 - x1)) - 0.87851596)) - 0.3121878)"
18,0.88890254,"(abs(sin((x0 + (x0 - x1)) - 0.879264)) - (0.06950549 * x3)) * sin(x9 / -0.46770436)"
20,0.8789763,"x1 * (sin(x9 / -0.46806228) * (abs(sin((x0 + (x0 - x1)) - 0.8705631) / x1) - 0.07613161))"
22,0.8728892,"(((abs(sin((x0 + (x0 - x1)) - 0.88200384) / x1) - 0.07863812) * x1) * sin(x9 / -0.46794346)) - x11"
23,0.87030363,"((x1 * (abs(sin((x0 + x0) - (x1 - -0.8869044)) / x1) - 0.07565526)) * sin(x9 / -0.46801972)) - sqrt(x11)"
24,0.87009346,"((x1 * sin(x9 / -0.4676139)) * (abs(sin(((x0 + x0) - x1) - 0.8584326) / x1) - 0.07556405)) - sqrt(sqrt(x11))"
