Complexity,Loss,Equation
1,0.99999964,"-6.750657e-5"
3,0.99174803,"-0.3060428 / x7"
4,0.98366976,"sin(x11 / 0.0024645827)"
5,0.9724734,"sin(x9) / exp(x3)"
6,0.9626999,"cos(x9 * -1.7654237) / x1"
7,0.9492719,"cos(exp(2.716571 + x10)) * -0.3526795"
8,0.93833995,"(cos(x9 * -1.7642081) ^ x0) * 0.44769797"
9,0.9175596,"cos(exp((0.040694546 * x6) + -0.011917744)) / x0"
11,0.91321045,"cos(exp(((x0 * -0.2928585) + x6) * 0.040694546)) / x0"
13,0.9109542,"cos(exp((x6 + (x0 * -0.2928585)) * 0.040694546) + 0.59496135) / x0"
14,0.9108954,"cos(sqrt(0.24359824) + exp(0.040694546 * (x6 + (-0.2928585 * x0)))) / x0"
15,0.90998995,"(cos(exp((x6 + (x0 * -0.2928585)) * 0.040694546) + 0.5542668) + 0.040694546) / x0"
19,0.9086984,"(cos(exp((((-0.30439365 + x1) * 0.15411744) + x6) * 0.040624794)) / (x2 ^ (x3 / x10))) / 0.7113216"
20,0.908679,"(cos(exp((x6 + ((x1 + -0.30439365) * 0.15411744)) * 0.040624794)) / (x2 ^ (x3 / x10))) / sin(0.8066467)"
21,0.9049083,"cos(exp((((x1 + -0.30439365) * 0.15411744) + x6) * 0.040624794)) / ((x2 ^ (x3 / x10)) ^ abs(sin(x6)))"
23,0.90481246,"(cos(exp((x6 + (0.15411744 * (-0.30439365 + x1))) * 0.040624794)) / ((x2 ^ (x3 / x10)) ^ abs(sin(x6)))) - 0.02350205"
