Complexity,Loss,Equation
1,0.19832599,"-0.28001952"
3,0.1947878,"cos(sqrt(x8))"
4,0.1874295,"sin(x5 * -0.40620127)"
6,0.17975439,"sin(x2 * x10) / x3"
8,0.17813264,"(sin(x10 * x2) ^ x3) / x3"
10,0.17711468,"(sin(x10 * x2) ^ x3) / (x3 / 1.1363702)"
11,0.17072986,"sin(x2 * x10) * cos((x3 * -0.31961262) ^ x2)"
13,0.17013536,"(cos((-0.31961262 * x3) ^ x2) * sin(x2 * x10)) - 0.06920175"
14,0.16631576,"sin(((1.5916358 - (x0 + (x0 ^ -0.7397225))) ^ x0) / (-0.40581396 + x7))"
18,0.16428113,"sin(((x3 + (((1.5916358 - x0) - (x0 ^ -0.7397225)) - x3)) ^ x0) / (x7 + -0.40581396))"
20,0.16127114,"sin((((((x3 - ((x0 + x11) ^ -0.73972046)) + 1.5916355) - x0) - x3) ^ x0) / (x7 + -0.40581176))"
