Complexity,Loss,Equation
1,0.70117235,"-0.088513695"
3,0.6926731,"-4.514148 / x10"
4,0.68321127,"-12.56006 / exp(x10)"
5,0.6824885,"(x3 / x1) * -1.4683232"
6,0.62859803,"-0.052849676 / (sin(x0) - 0.13088034)"
8,0.6001842,"(cos(x9 * 1.9966717) - 0.7458035) / 0.32793897"
10,0.5978541,"(cos((-0.23430727 - x9) * 1.9869429) - 0.77478623) / 0.33251628"
11,0.59101194,"(cos(2.0297952 * sqrt(x6 ^ x0)) - 0.70775396) / 0.32666072"
13,0.5767232,"(cos(sqrt((x6 ^ x0) - x9) * 2.0297952) - 0.70775396) / 0.32666072"
15,0.5737587,"(cos(sqrt(x2 + ((x6 ^ x0) - x9)) * 2.0297952) - 0.70462036) / 0.32666072"
16,0.5728976,"(cos(2.0297952 * sqrt((x6 ^ x0) - (x9 * x0))) - 0.7366513) / abs(0.334789)"
17,0.5628171,"(cos(sqrt((x0 ^ x0) + ((x6 ^ x0) - x9)) * 2.0297952) - 0.7366513) / 0.33653572"
19,0.5537567,"(cos(2.0297952 * sqrt(((x6 ^ x0) + (x1 ^ (x0 + 0.8788843))) - x9)) - 0.70775396) / 0.32666072"
21,0.549269,"(cos(2.0297952 * sqrt((x6 ^ x0) + ((x1 ^ (x0 + 0.8788843)) - (x0 * x9)))) - 0.70775396) / 0.32666072"
24,0.54674774,"(cos(2.0297952 * sqrt(((x6 ^ x0) - (x9 * x0)) + (x1 ^ (x0 + 0.5879799)))) - 0.7366513) / abs(x11 - 0.334789)"
25,0.5458634,"(cos(2.0297952 * sqrt(((x6 ^ x0) - (x9 * x0)) + (x1 ^ (x0 + 0.5879799)))) - 0.7366513) / abs(sqrt(x11) - 0.334789)"
27,0.5449833,"((cos(2.0297952 * sqrt(((x6 ^ x0) - (x9 * x0)) + (x1 ^ (x0 + 0.5879799)))) - 0.7366513) / abs(sqrt(x11) - 0.334789)) - x11"
32,0.5445296,"(((cos(sqrt(((x1 ^ (x0 + 0.5879799)) + (x1 ^ (x1 ^ 0.5879799))) + ((x6 ^ x0) - x9)) * 2.0297952) - 0.7366513) / abs(x11 - 0.33653572)) - x11) - x11"
33,0.54318976,"((cos(sqrt((((x1 ^ (0.5879799 + x0)) + (x1 ^ (x1 ^ 0.5879799))) + ((x6 ^ x0) - x9)) - sqrt(x4)) * 2.0297952) - 0.7366513) / abs(0.33653572 - x11)) - x11"
