Complexity,Loss,Equation
1,0.68524086,"-0.05233564"
3,0.67707694,"-5.9163027 / x5"
4,0.66678256,"cos(x5 ^ 1.1353668)"
5,0.6131525,"0.3485418 / (2.931199 - x0)"
8,0.6130604,"(0.3485418 / (2.931199 - x0)) / cos(x11)"
10,0.6122861,"(0.08035062 / (-0.48959526 + (0.5169119 ^ log(x0)))) / x0"
12,0.6049611,"(-0.78865695 - cos(x3 * (8.024814 + (x9 * x3)))) / 0.3315742"
14,0.5901116,"2.960082 * (cos(2.3086839 + ((x3 + (x2 ^ x0)) * 7.306354)) + -0.68604714)"
15,0.5700593,"(cos((sqrt(0.3060292 + x2) + (x2 ^ x0)) * 7.317128) + -0.80379444) * 2.9554927"
17,0.56975764,"((-0.80379444 + cos(((x2 ^ x0) + sqrt(x2 + 0.3060292)) * 7.317128)) * 2.9554927) + 0.14741899"
19,0.55574256,"(cos(((x3 - ((2.594749 / exp(x2)) - (x2 ^ x0))) * 7.306354) + 2.2314467) + -0.71721417) * 3.022802"
23,0.5523397,"(cos(2.3086839 + ((x3 - ((((2.3086839 / x3) / x3) / sqrt(x6)) - (x2 ^ x0))) * 7.306354)) + -0.80811614) * 2.960082"
24,0.5417846,"(cos(2.2314467 + (7.306354 * (x3 - (((x8 + (x9 / x1)) / sqrt(exp(x8))) - (x2 ^ x0))))) + -0.71721417) * 2.960082"
25,0.5409763,"(cos(2.2314467 + ((x3 - ((((x9 / x1) + x8) / sqrt(exp(x8))) - (x2 ^ x0))) * 7.306354)) + sin(-0.90565884)) * 2.960082"
26,0.5384968,"(cos(((x3 - (((((x9 / x8) + x8) + 1.3183649) / sqrt(exp(x8))) - (x2 ^ x0))) * 7.306354) + 2.2314467) + -0.71721417) * 3.1228251"
