Complexity,Loss,Equation
1,0.19568975,"-0.50164187"
3,0.19317849,"x3 * -0.10262911"
4,0.18340786,"cos(x9 + x9)"
5,0.17850874,"0.24922715 - abs(sin(x9))"
7,0.17431508,"(abs(sin(x9)) * -1.6478853) + 0.78644675"
9,0.17295344,"sin(log(x1)) + (abs(sin(x9)) * -1.8129634)"
11,0.17108439,"0.7461912 + (abs(sin((-0.5250638 - x9) * 0.9887773)) * -1.6309351)"
14,0.16996296,"0.7461912 + (-1.6309351 * abs(sin((-0.2075674 * sqrt(x1)) - (x9 * 0.9887773))))"
16,0.16852674,"(((sin(sqrt(x7)) * (cos(x9) / -0.8664846)) + -1.5591738) * abs(sin(x9))) + 0.7724282"
18,0.16682567,"((abs(sin(x9)) * -1.4961379) + ((sin(sqrt(x2 + x5)) * cos(x9)) * 0.5964859)) + 0.66954553"
20,0.16517748,"(sqrt(log(x1)) + ((abs(sin(x9)) * -2.5016913) + (sin(sqrt(x2 + x5)) * cos(x9)))) / 1.6197778"
22,0.16299063,"((sin(sqrt(x5 + x2)) * abs(cos(x8))) * cos(x9)) + (log(sqrt(x1)) + (abs(sin(x9)) * -1.4748166))"
24,0.16275534,"(((abs(cos(x8)) * cos(x9)) * sin(sqrt(x2 + x5))) + (log(sqrt(x1)) + (abs(sin(x9)) * -1.5434071))) / 1.0839539"
26,0.16250269,"(((abs(sin(x9)) * -1.5596136) + log(sqrt(x1))) + ((cos(x9) * abs(cos(x8))) * sin(sqrt((x5 + x2) + x1)))) / 1.0974634"
27,0.16167493,"((abs(cos(x8) * cos(x9)) * cos(x9)) * sin(sqrt(x5 + x2))) + (((abs(sin(x9)) * -1.5596136) + log(sqrt(x1))) / 1.0974634)"
29,0.16133915,"(log(sqrt(x1)) + (((x10 ^ -0.2746689) * sin(sqrt(sqrt(x6 + ((1.0761198 ^ x4) * (x5 + -2.0602992)))))) * cos(x9))) + (abs(sin(x9)) * -1.4747865)"
30,0.16132414,"(log(sqrt(x1)) + ((sin(sqrt(sqrt(x6 + ((1.0761198 ^ x4) * (x5 + log(0.13472512)))))) * cos(x9)) * (x10 ^ -0.2746689))) + (abs(sin(x9)) * -1.4747865)"
31,0.16093275,"(log(sqrt(x1)) + (abs(sin(x9)) * -1.4747865)) + ((sin(sqrt(sqrt(x6 + (x6 + ((1.0761198 ^ x4) * (x5 + -2.0045187)))))) * (x10 ^ -0.2746689)) * cos(x9))"
