Complexity,Loss,Equation
1,0.20079191,"-0.30214024"
3,0.19831854,"-1.768802 / x2"
4,0.18909329,"cos(x1 * x5)"
6,0.17813218,"sin(x9 * (x9 * -0.9744164))"
8,0.17638978,"sin((x9 * -0.9744165) * x9) * 0.8698913"
10,0.17586055,"(sin(x9 * (x9 * -0.9744194)) * 0.86967915) + -0.048408918"
11,0.17585142,"(0.86967915 * sin((x9 * -0.9744194) * x9)) + log(0.95102274)"
12,0.17463167,"(sin((x9 * (x9 * x9)) * -0.4077624) * 0.75451016) - 0.19828671"
14,0.17389198,"(sin(((x9 * x9) * x9) * -0.4077624) - (0.791889 ^ x2)) * 0.76773345"
15,0.17379415,"(sin(((x9 * x9) * x9) * -0.4077624) - (sqrt(0.6479314) ^ x2)) * 0.76773345"
16,0.17309687,"sin(((sqrt(x0) + (x9 * ((x9 * x9) * x9))) * -0.24540183) + sqrt(x11))"
17,0.17207938,"sin(((((x9 * x9) * (x9 * x9)) + sqrt(x0)) * -0.2361432) + (0.58267486 ^ x3))"
18,0.16624202,"sin(((x7 / (x3 ^ x10)) + ((x9 * ((x9 * x9) * x9)) * -0.2361432)) + -0.5460552)"
19,0.1644426,"sin((x7 / (x3 ^ x10)) + ((((x9 * (x9 * x9)) * x9) + sqrt(x0)) * -0.2361432))"
21,0.16331202,"sin((x7 / (x3 ^ x10)) + (((x9 * (x9 * (x9 * x9))) + (sqrt(x0) - x11)) * -0.2361432))"
23,0.16243458,"sin(((x7 / (x3 ^ x10)) + (((x9 * ((x9 * x9) * x9)) + sqrt(x0)) * -0.2361432)) + (-0.5192205 / x10))"
24,0.16184248,"sin(((x7 / (x3 ^ x10)) + sqrt(x11)) + ((((x9 * (x9 * x9)) * x9) + sqrt(x0)) * -0.2361432)) * 0.9555646"
25,0.16109714,"sin((sqrt(x7 ^ log(x2)) / (x3 ^ (x10 + 0.20485061))) + (((x9 * ((x9 * x9) * x9)) + sqrt(x0)) * -0.2361432))"
26,0.16064397,"sin(((x7 + -0.23080067) / (x3 ^ x10)) + (sqrt(x11) + ((sqrt(x0) + ((x9 * (x9 * x9)) * x9)) * -0.2361432))) * 0.9555646"
27,0.16015778,"sin((sqrt(x7 ^ log(x2)) / (x3 ^ (x10 * 1.2943168))) + (((((x11 + (x9 * x9)) * x9) * x9) + sqrt(x0)) * -0.2361432))"
29,0.15850492,"sin(((sqrt(x7 ^ log(x2)) / (x3 ^ (x10 * 1.2943168))) + (x11 * x11)) + (((((x9 * x9) * x9) * x9) + sqrt(x0)) * -0.2361432))"
30,0.15809835,"sin(((sqrt(x7 ^ log(x2)) / (x3 ^ (x10 * 1.2943168))) + sqrt(x11)) + ((sqrt(x0) + (((x9 * x9) * x9) * x9)) * -0.2361432)) * 0.9904847"
31,0.15809448,"abs(-0.9773957) * sin(((sqrt(x7 ^ log(x2)) / (x3 ^ (x10 * 1.2943168))) + sqrt(x11)) + (((x9 * (x9 * (x9 * x9))) + sqrt(x0)) * -0.2361432))"
32,0.15777606,"sin((((sqrt(x7 ^ log(x2)) / (x3 ^ (x10 * 1.2943168))) + sqrt(x11)) + ((sqrt(x0) + ((x9 * (x9 * x9)) * x9)) * -0.2361432)) + -0.056228265) * 0.9904847"
