Complexity,Loss,Equation
1,9.311498,"0.74849"
2,9.310187,"log(x1)"
3,9.29159,"19.316942 / x8"
4,9.252665,"exp(x10 / x8)"
6,9.2199745,"exp((1.3250852 ^ x10) / x8)"
8,9.198145,"exp((x10 / x8) ^ (x8 / x7))"
9,7.391495,"0.119463935 / sin(sqrt(x3 + (x10 * 1.1976731)))"
10,7.27512,"abs(-0.1208281 / sin(sqrt(x3 + (x10 * 1.1980861))))"
11,7.2734885,"(0.11946338 / sin(sqrt((x10 * 1.1976722) + x3))) + 0.92919606"
12,7.2430587,"abs((-0.1208281 / sin(sqrt((x10 * 1.1980861) + x3))) + 0.9921586)"
14,7.2320933,"x11 + abs((-0.1208281 / sin(sqrt(x3 + (x10 * 1.1980861)))) + 0.9921586)"
15,7.199052,"abs((-0.1208281 / sin(sqrt(x3 + (1.1980861 * x10)))) + (1.1980861 - cos(x10)))"
17,7.181448,"abs((x11 + 0.9921586) + ((-0.1208281 / sin(sqrt(x3 + (x10 * 1.1980861)))) - cos(x10)))"
22,7.1807866,"abs(sqrt(abs(sin(x10))) - (((x11 + cos(x10)) * 1.4539213) - (-0.12175752 / sin(sqrt((x10 * 1.1976722) + x3)))))"
23,7.1631665,"abs(((x2 + -0.025037507) * 0.18100818) - (((x11 + cos(x10)) * 1.4539213) - (-0.12175752 / sin(sqrt(x3 + (x10 * 1.1976722))))))"
24,7.161485,"abs(((x2 + -0.025037507) * cos(1.4539213)) - (((x11 + cos(x10)) * 1.4539213) - (-0.12175752 / sin(sqrt(x3 + (x10 * 1.1976722))))))"
25,7.1612873,"abs((((x2 + -0.025037507) * 0.11660911) - -0.06355735) - (((x11 + cos(x10)) * 1.4539213) - (-0.12175748 / sin(sqrt(x3 + (x10 * 1.1976722))))))"
27,7.15467,"abs((((cos(x10) * 1.1976722) + (x11 + x11)) - (-0.12175752 / sin(sqrt(x3 + (x10 * 1.1976722))))) - sqrt(abs(sin(exp(-1.4332064) + x0))))"
