Complexity,Loss,Equation
1,6.038479,"0.72095907"
3,6.022126,"1.4502618 ^ x11"
4,5.965638,"exp(x2 / x8)"
5,5.916047,"x2 / (x8 + -3.9426134)"
7,5.90243,"(x2 / (x8 + -3.9302192)) - -0.261017"
8,5.305529,"(cos(x4 + 1.8930107) + x3) ^ -0.60192335"
9,5.2873645,"(cos(x4 + 1.8930107) + sqrt(x3)) ^ -0.60192335"
10,5.2837863,"((x3 + cos(x4 + 1.8930038)) ^ -0.60192335) - -0.3522536"
11,5.1597214,"(cos((-0.69133 + x9) + exp(x2)) + x3) ^ -0.68063956"
12,5.135925,"(cos(-0.69133 + (x9 + exp(x2))) + sqrt(x3)) ^ -0.68063956"
14,5.1226835,"((sqrt(x3) + cos((x9 + -0.69133) + exp(x2))) ^ -0.68063956) + x11"
15,5.1226816,"abs(x11 + ((cos(exp(x2) + (x9 + -0.6913465)) + sqrt(x3)) ^ -0.6806398))"
16,5.1148314,"((cos(x9 + (-0.691222 + exp(x2))) + sqrt(x3)) ^ (-0.6795054 - x11)) + x11"
17,5.0974636,"((x3 + cos(exp(x2) + (x9 + -0.6913471))) ^ -0.6801905) + ((x2 / x8) ^ x3)"
18,5.0618386,"((cos(x9 + (exp(x2) + -0.69122285)) + x3) ^ -0.67921656) + (x8 / (exp(x7) - x8))"
19,4.9787426,"abs((x8 / (exp(x7) - x8)) - ((cos((x9 + -0.6912566) + exp(x2)) + x3) ^ -0.6806363))"
20,4.959939,"abs(((x3 + cos(exp(x2) + (x9 + -0.69145596))) ^ -0.68196243) + (exp(x7) / (x8 - exp(x7))))"
22,4.9422445,"abs((((x3 + cos((x9 + -0.69145596) + exp(x2))) ^ -0.68196243) + (exp(x7) / (x8 - exp(x7)))) + x11)"
23,4.919026,"abs(-1.2686577 + abs((exp(x7) / (exp(x7) - x8)) - ((cos(x9 + (-0.69145596 + exp(x2))) + x3) ^ -0.68196243)))"
24,4.8814774,"abs(((x8 / (exp(x7) - x8)) * cos(x4 ^ x2)) + ((cos(exp(x2) + (x9 + -0.6913107)) + x3) ^ -0.680595))"
25,4.8624806,"abs(((cos((exp(x2) + -0.69122285) + x9) + sqrt(x3)) ^ -0.67921656) + ((x8 / (exp(x7) - x8)) * cos(x4 ^ x2)))"
26,4.8618193,"abs(((exp(x7) * cos(exp(x7) - -0.7417966)) / (exp(x7) - x8)) + ((x3 + cos(x9 + (exp(x2) + -0.69122285))) ^ -0.67921656))"
28,4.8383884,"abs(((cos(exp(x7) - -0.7417966) * x8) / (exp(x7) - x8)) + (x11 + ((sqrt(x3) + cos(x9 + (-0.69122285 + exp(x2)))) ^ -0.67921656)))"
30,4.8290033,"abs(((cos((exp(x2) + -0.69122285) + x9) + x3) ^ -0.67921656) + ((exp(x7) * (cos(exp(x7) - -0.7417966) / (exp(x7) - x8))) + (x11 - 0.4488987)))"
31,4.8270826,"abs(((x11 + ((cos(exp(x7) - -0.7417966) * exp(x7)) / (exp(x7) - x8))) + ((cos((x9 + exp(x2)) + -0.69122285) + sqrt(x3)) ^ -0.67921656)) - 0.77046704)"
32,4.818222,"abs(((cos((x9 + exp(x2)) + -0.69122285) + x3) ^ -0.67921656) + (((x11 + cos(exp(x7) - -0.7417966)) * (exp(x7) / (exp(x7) - x8))) - abs(cos(x7))))"
33,4.8068404,"abs(((cos(-0.70300716 - exp(x7)) * exp(x7)) / (exp(x7) - x8)) + (((x3 + cos(x9 + (exp(x2) + -0.69251376))) ^ -0.6890475) + (x11 - abs(abs(cos(x7))))))"
