Complexity,Loss,Equation
1,0.20079191,"-0.30197218"
3,0.19831854,"-1.7695278 / x2"
4,0.18909329,"cos(x1 * x5)"
5,0.18154305,"cos(x9 * sqrt(x1))"
6,0.18140729,"cos(x9 * (x1 ^ 0.5009636))"
7,0.17970519,"cos(x9 * sqrt(x1)) * 0.8584617"
8,0.17952797,"cos((x1 ^ 0.5009636) * x9) * 0.85950434"
9,0.17817341,"(cos(sqrt(x1) * x9) * 0.7852256) - 0.12940599"
10,0.17691141,"cos((x1 ^ (x11 + 0.50137633)) * x9) * 0.8767053"
12,0.17448558,"(cos((x1 ^ (x11 + 0.5019393)) * x9) + -0.20950392) * 0.78538513"
14,0.17410079,"(cos((x1 ^ 0.501117) * (x9 - -0.10689621)) + (-0.7313795 / x7)) * 0.8039804"
16,0.1709123,"cos(((0.6716552 / ((x3 ^ (x3 + 1.0630653)) * 0.3688315)) + x9) * (x1 ^ 0.50149906))"
19,0.16884775,"(cos(((x10 ^ 1.0630653) + 1.0672752) / (0.8595446 / x3)) + cos((x1 ^ 0.50149906) * x9)) * 0.5457573"
20,0.16884524,"(cos(((x10 ^ 1.0630653) + 1.0672752) / (0.8595446 / x3)) + cos((x1 ^ 0.50149906) * x9)) * sin(0.57268995)"
21,0.16765785,"(cos((-0.19781676 - x9) * (x1 ^ 0.4992056)) + cos((((x10 + 0.9103044) ^ 1.0505885) / 0.83991385) * x3)) * 0.530713"
23,0.16607206,"((-0.76493543 / x7) + (cos((x1 ^ 0.5011219) * x9) + cos(((x10 + 0.9129644) ^ 1.0573114) / (0.84920317 / x3)))) * 0.5202533"
25,0.16480632,"(cos((((x10 + 0.9103044) ^ 1.0505885) / 0.83991385) * x3) + (cos((-0.19781676 - x9) * (x1 ^ 0.4992056)) + (-0.76530373 / x7))) * 0.530713"
