Complexity,Loss,Equation
1,3.0087507,"0.34306148"
3,2.9948897,"abs(cos(x9))"
5,2.959714,"exp(-0.7586553 / cos(x1))"
6,2.8380144,"exp(0.047548596 / cos(sqrt(x5)))"
8,2.8275237,"exp((0.057079542 / cos(sqrt(x5))) + -1.0609523)"
9,2.8269978,"exp(abs(0.057079542 / cos(sqrt(x5))) + -1.0609523)"
10,2.8234859,"exp(((0.110547 / cos(sqrt(x5))) / x0) + -0.8594569)"
12,2.811597,"exp((0.08569327 / cos(sqrt(x5))) / x10) - abs(sin(x9))"
13,2.267192,"exp((-0.5200149 / cos(sqrt(x5))) / ((x9 * cos(x9)) + x2))"
16,2.2486947,"abs(exp((-0.5200149 / cos(sqrt(x5))) / (x2 + (x9 * cos(x9)))) + -1.5427549)"
17,2.2486792,"abs(abs(exp((-0.5200174 / cos(sqrt(x5))) / (x2 + (cos(x9) * x9)))) + -1.6100982)"
19,2.2481248,"abs(abs(exp((-0.5200149 / cos(sqrt(x5))) / ((x9 * cos(x9)) + x2)) + -1.5427549)) - x11"
