Complexity,Loss,Equation
1,3.1644158,"0.66503286"
2,3.1629908,"log(x1)"
3,3.155537,"x2 / x8"
4,3.1447973,"exp(x10 / x8)"
5,3.1241918,"(x2 * 0.11672957) ^ x10"
6,3.1208377,"x2 / abs(x8 - x1)"
7,3.1144197,"((x10 / x8) ^ x8) - -0.59620345"
8,3.110138,"((cos(x9) - x2) * -0.11202023) ^ x10"
9,3.105809,"abs(cos(x9) - ((x10 / x8) ^ x8))"
11,3.099448,"abs(x11 + (cos(x9) - ((x10 / x8) ^ x8)))"
12,3.0899475,"((x10 / x8) ^ x8) + abs(cos(x6) + sin(x0))"
14,3.084965,"abs(cos(x6 + -0.37678802) + sin(x0)) + ((x10 / x8) ^ x8)"
15,3.0817013,"abs(cos(x9) + (sin(x0) + (sin(x6) - ((x10 / x8) ^ x8))))"
16,3.0798206,"abs(cos(x6 + -0.37678802) + (sin(x0) + x11)) + ((x10 / x8) ^ x8)"
17,3.075755,"abs((((x11 + sin(x0)) + sin(x6)) - ((x10 / x8) ^ x8)) + cos(x9))"
19,3.0662892,"abs((sin(x0) + ((cos(x9) + (sin(x6) + x11)) / 0.6479356)) - ((x10 / x8) ^ x8))"
