Complexity,Loss,Equation
1,8.853835,"0.67920035"
3,8.831536,"abs(cos(x9))"
4,8.828164,"exp(x10 / x8)"
5,8.796938,"exp(cos(x9 + x9))"
6,8.793317,"exp(x10 / x8) - 0.54542273"
8,8.320563,"sqrt(0.32111418 / abs(cos(x5 - 0.14869228)))"
11,8.299865,"abs(1.9215854 - sqrt(abs(0.9559674 / cos(0.14870448 - x5))))"
12,8.294963,"abs(sqrt(x10) - (0.97519666 / sqrt(abs(cos(0.14870448 - x5)))))"
14,8.292534,"abs(sqrt(abs((0.9559674 / cos(0.14870448 - x5)) - -0.47828758)) - sqrt(x10))"
15,8.278442,"abs(sqrt(abs((0.9559674 / cos(0.14870448 - x5)) - cos(x3))) - sqrt(x10))"
17,8.275725,"abs((cos(x4 * x6) + sqrt(x10)) - (0.9793392 / sqrt(abs(cos(0.14870821 - x5)))))"
18,8.268425,"abs((cos(x4 * x6) + sqrt(log(x5))) - (0.9796221 / sqrt(abs(cos(0.14870448 - x5)))))"
19,8.247716,"abs((0.9796221 / sqrt(abs(cos(0.14870448 - x5)))) - (cos(x4 * (x6 - x3)) + sqrt(x10)))"
