Complexity,Loss,Equation
1,6.038479,"0.72089195"
3,6.022126,"1.4503112 ^ x11"
4,5.965638,"exp(x2 / x8)"
5,5.916047,"x2 / (x8 - 3.9431293)"
7,5.8911815,"(x7 * 0.79360455) / (x8 - 4.4839053)"
8,5.873689,"((x10 + sqrt(x5)) / x8) ^ 2.6275036"
10,5.8735337,"abs(((x7 * 0.5339586) / (x8 - 4.6833024)) + 0.37417775)"
11,5.515985,"exp(sqrt(0.37770405 / abs(cos(x4 * -9.350769))) + -3.9205465)"
13,5.4955826,"exp(sqrt(abs(-1.1825153 / cos(x4 * 1.0740316))) + -3.244795) + 0.36300495"
14,5.4227843,"abs(exp(-3.244795 + sqrt(abs(-1.1825153 / cos(x4 * 1.0740316)))) + -1.1825153)"
15,5.416243,"(exp(-3.244795 + sqrt(0.5284442 / abs(cos(1.0740316 * x4)))) ^ 2.4044592) / 2.4044592"
16,5.377688,"abs(1.0740316 - exp(-3.244795 + sqrt(abs((1.1629394 / cos(x4 * 1.0740316)) + 1.0740316))))"
17,5.2766867,"((exp(sqrt(abs(0.53010446 / cos(x4 * 1.0740316))) + -3.244795) ^ 2.4044592) / 2.4044592) + 0.67216825"
19,5.265734,"(((exp(sqrt(abs(-0.5291695 / cos(x4 * 1.0740316))) + -3.244795) ^ 2.4044592) / 2.4044592) + x11) + 0.67216825"
