Complexity,Loss,Equation
1,8.853835,"0.67902976"
3,8.831536,"abs(cos(x9))"
4,8.828164,"exp(x10 / x8)"
5,8.818713,"x2 * (1.7973137 / x8)"
6,8.598945,"(sin(x1) - -0.9314384) ^ x0"
7,8.350351,"0.64129436 / abs(sin(1.1539935 ^ x1))"
9,8.347483,"abs((x11 - 0.64129436) / sin(1.1539935 ^ x1))"
10,8.345818,"0.6566888 / abs(sin(0.46473354 - (2.2349496 ^ abs(x1))))"
14,8.318197,"abs(abs((((sin(x1) ^ x1) - -1.0069553) ^ x0) + -1.6248702) + -1.14651)"
16,8.315601,"abs((sin(x1 ^ x1) + -1.646937) + (((sin(x1) ^ x1) - -1.0058889) ^ x0))"
17,8.299457,"abs(abs(abs((((sin(x1) ^ x1) - -1.010108) ^ x0) + -1.6001452) + -2.157733) + -1.0646039)"
18,8.293697,"abs(abs(sin(exp(x2)) + ((((sin(x1) ^ x1) - -1.0074259) ^ x0) + -2.1696184)) + -1.464132)"
19,8.280107,"abs(sin(x1 ^ x0) + (-1.7215425 + abs(-1.3862718 + (((sin(x1) ^ x1) - -1.0078477) ^ x0))))"
20,8.262047,"abs((sin(exp(x1) + x0) + abs((((sin(x1) ^ x1) - -1.0086023) ^ x0) + -1.3529602)) + -1.7395957)"
21,8.24066,"((((sin(x8) + ((sin(x10 ^ (x0 / x10)) / 3.2400975) + 0.5736509)) ^ x1) + x0) * 0.14236982) ^ 2.035986"
23,8.23109,"(((x0 + ((sin(x8) + ((sin(x10 ^ (x0 / x10)) / 5.823467) + 0.62679935)) ^ x1)) * 0.11463804) ^ 2.5682418) - -0.28701487"
