Complexity,Loss,Equation
1,6.038479,"0.720932"
3,6.022126,"1.4502239 ^ x11"
4,5.965638,"exp(x2 / x8)"
5,5.9014845,"x7 / (x8 + -4.451194)"
7,5.877018,"x5 * (0.12475517 / (x8 - 4.423962))"
9,5.863977,"((x5 * 0.1246811) / (x8 - 4.423738)) + x11"
10,5.8610997,"abs(((x5 * 0.12468196) / (x8 - 4.423735)) - x11)"
11,5.8455124,"((((0.33584255 ^ x8) * x5) * x10) - -0.10262158) * x2"
13,5.47498,"(abs(cos((x1 ^ x10) - 0.8028327)) ^ -0.7560377) ^ (x3 ^ -2.2153423)"
14,5.4724903,"abs((abs(cos(0.8028327 - (x1 ^ x10))) ^ -0.7560377) ^ (x3 ^ -2.8411984))"
15,5.314334,"0.8399322 * ((abs(cos(0.8028327 - (x1 ^ x10))) ^ -0.7560377) ^ (x3 ^ -2.2153423))"
18,5.3012905,"abs(((abs(cos((x1 ^ x10) - 0.8028327)) ^ -0.7560377) ^ (x3 ^ -2.2153423)) * 0.8399322) + x11"
19,5.297291,"sqrt(exp(((abs(cos((-0.9379364 ^ x1) - (x1 ^ x10))) ^ -0.69389546) * (x3 ^ -1.52272)) - 0.55839914))"
20,5.283614,"exp(((abs(cos((x1 ^ x10) - (-0.9559417 ^ x1))) ^ -0.6491851) ^ (x3 ^ -2.2187843)) * 0.61138684) - 1.1709443"
22,5.270551,"(x11 + exp(((abs(cos((x1 ^ x10) - (-0.9559417 ^ x1))) ^ -0.6491851) ^ (x3 ^ -2.2187843)) * 0.61138684)) - 1.1709443"
23,5.2678285,"abs((x11 + 1.1710241) - exp(((abs(cos((x1 ^ x10) - (-0.955947 ^ x1))) ^ -0.6490833) ^ (x3 ^ -2.2187848)) * 0.61156654))"
