Complexity,Loss,Equation
1,9.311498,"0.74837106"
2,9.310187,"log(x1)"
3,9.291063,"1.4496922 ^ x11"
4,9.252665,"exp(x10 / x8)"
5,9.252593,"x2 / (x8 + -3.9273558)"
6,8.73379,"-0.048028797 / sin(x8 + -0.60867375)"
7,8.697171,"0.051287763 / abs(sin(x8 + -0.60867375))"
8,7.5343895,"(x0 / sin(x8 * -0.34272626)) * 0.018012526"
9,7.4242916,"abs(x0 * (-0.018012526 / sin(x8 * -0.34272626)))"
11,7.3188357,"abs(x0 * ((-0.018012526 / sin(x8 * -0.34272626)) - -0.23640408))"
13,7.3083544,"abs(x0 * ((-0.018012526 / sin(x8 * -0.34272626)) + (x8 ^ -0.5631863)))"
14,7.3079267,"abs(x0 * ((-0.018012526 / sin(-0.34272626 * x8)) + abs(-0.23640408))) + x11"
15,7.2266264,"0.7998592 - ((-0.02705173 / (sin(x8 * -0.68543637) + (sin(x5) ^ x9))) / 0.63977474)"
16,7.2224736,"abs((-0.02705173 / (sin(-0.68543637 * x8) + (sin(x5) ^ x9))) / 0.63977474) + 0.63977474"
17,7.2011027,"abs(((-0.027018456 / (sin(x8 * -0.68543637) + (sin(x5) ^ x9))) - sin(x0)) / 0.63977474)"
18,7.1829495,"0.80289006 + (exp((-0.19977278 / sqrt((0.14710888 + x0) / x6)) - 1.373101) / sin(-0.6854364 * x8))"
19,7.1781077,"abs(((x11 + (-0.027018456 / (sin(-0.68543637 * x8) + (sin(x5) ^ x9)))) - sin(x0)) / 0.63977474)"
20,7.1720395,"(exp((-0.19977278 / sqrt((x0 + 0.14710888) / x6)) - 1.373101) / sin(x8 * -0.6854364)) + (x11 + 0.80289006)"
21,7.160619,"abs(((exp((-0.19977278 / sqrt((x0 + 0.14710888) / x6)) - 1.373101) / sin(x8 * -0.6854364)) + x11) - 0.80289006)"
22,7.1567297,"abs(0.83991235 - abs((exp((-0.19977278 / sqrt((x0 + 0.14710888) / x6)) - 1.373101) / sin(x8 * -0.6854364)) + x11))"
23,7.14942,"abs(log(x1) - (x11 + abs(exp((-0.19949766 / sqrt((x0 + 0.14712986) / x6)) - 1.3729682) / sin(-0.6854365 * x8))))"
24,7.144628,"abs(abs((exp((-0.19949766 / sqrt((x0 + 0.14712986) / x6)) - 1.3729682) / sin(x8 * -0.6854365)) + (x11 / 0.5625105)) - 0.9973764)"
25,7.1322827,"abs(log(x1) - abs((exp((-0.19949766 / sqrt((x0 + 0.14712986) / x6)) - 1.3729682) / sin(-0.6854365 * x8)) + (x11 / -0.50005895)))"
