Complexity,Loss,Equation
1,2949.6978,"12.812112"
2,2923.9656,"sqrt(x5)"
3,2901.9663,"x5 / x2"
4,2885.0264,"x8 ^ sin(x0)"
5,2745.4866,"(x5 / x9) * x0"
6,2704.7314,"62.59099 / abs(x8 - x9)"
7,1081.7782,"x0 / ((x9 - x8) + 0.5108633)"
8,1078.76,"abs(-5.0462117 / ((x8 - x9) + -0.5067666))"
9,987.65125,"(-0.7112295 / (x9 + (0.49903283 - x8))) + 10.270797"
10,977.2073,"sqrt(x5) + (2.1949117 / ((x9 + 0.5029997) - x8))"
12,976.8352,"((x1 * 0.5042867) / (x9 + (0.50414306 - x8))) + sqrt(x5)"
13,975.2381,"(sqrt(x5) + (2.0272253 / ((x9 - x8) + 0.5027935))) + cos(x2)"
14,922.6234,"((x8 ^ sin(x1)) * x0) + (0.33161843 / (x9 - (x8 + -0.50047016)))"
15,892.3725,"((-0.26669815 / (x8 + (-0.5053883 - x9))) + (x0 ^ sin(x1))) * sqrt(x5)"
16,873.861,"((-1.775617 / (x9 - (x8 + -0.49757302))) + ((x0 * x8) ^ sin(x1))) + x0"
17,855.93726,"abs(((x8 * x0) ^ sin(x1)) - (x2 - (-2.8394427 / (x9 - (x8 + -0.49619648)))))"
18,852.95374,"abs((-1.7596185 / (x9 - (x8 + -0.4976753))) + (((x8 * x0) ^ sin(x1)) - sqrt(x4)))"
19,796.39105,"abs((((x2 * x0) * x3) ^ sin(x1)) - (x2 - (-2.8394427 / (x9 - (x8 + -0.49619648)))))"
