Complexity,Loss,Equation
1,655.3941,"8.432811"
2,654.8449,"abs(x2)"
3,652.548,"x5 ^ 0.45735514"
4,650.7888,"abs(x7 - x8)"
5,645.32623,"x2 + (x0 / x3)"
6,634.6472,"abs((x0 - x3) / 0.33626103)"
7,549.0206,"abs(x0 / (sin(x4) - x3))"
9,449.67413,"exp(sin(x4) / (x3 / (1.2885728 ^ x0)))"
10,433.31113,"sqrt(exp(sin(x4) / (x3 / (1.4240937 ^ x0))))"
11,416.95016,"exp(sin(x4) / (x3 / (1.2872832 ^ x0))) + x2"
12,404.96573,"abs(x2 - exp(sin(x4) / ((x3 / 1.2889305) ^ x0)))"
14,396.0748,"sqrt((exp(sin(x4) / (x3 / (1.4233134 ^ x0))) + x2) - -40.85772)"
15,395.5022,"abs(exp((sin(x0) * sin(x0 + x2)) * (8.655045 / x3)) - x2)"
16,390.16193,"(exp(((sin(x0) + sin(x0 + x2)) / 0.13113126) / x3) / 1086.2632) + x2"
17,386.62674,"abs(x2 - exp((3.640404 / x3) * (sin(x2 + (x0 + 0.59381366)) + sin(x0))))"
18,385.35382,"x2 + (exp(x1 * (((sin(x0 + x2) + sin(x0)) / 0.5261204) / x3)) / 1015.3528)"
19,385.1773,"(x2 / log(x1)) + exp(((sin(x0) + sin((x2 + 0.53612286) + x0)) * 3.5527644) / x3)"
