Complexity,Loss,Equation
1,0.15734074,"0.5049617"
3,0.15347005,"abs(cos(x9))"
5,0.14942753,"abs(cos(x8 ^ x3))"
7,0.1455056,"abs((cos(x9) - 0.15826006) ^ x3)"
9,0.14329097,"abs(((0.17384344 - cos(x9)) ^ x3) - 0.19425538)"
11,0.14114758,"abs((x10 / x8) - ((0.16890807 - cos(x9)) ^ x3))"
13,0.1393003,"abs(((0.17518552 - cos(x9)) ^ x3) - ((x10 ^ 1.2348684) / x8))"
15,0.13886914,"abs(((x10 ^ 1.1988766) / x8) - ((0.15539376 - cos(x9)) ^ x3)) ^ 1.1691679"
17,0.1367863,"abs((((0.16886441 - cos(x9)) ^ x3) - (0.33871675 ^ x3)) - ((1.3772177 ^ x10) / x8))"
18,0.13614771,"abs(cos(x9 / -0.8714438) * ((cos(x9 / -0.56689024) * -1.611079) - (x0 ^ -1.1361842))) ^ 1.8163787"
19,0.13545612,"abs(((cos(x9 / -0.5665885) * -1.5199758) - (x0 ^ -0.8710309)) * cos(x9 / -0.8710309)) ^ sqrt(x0)"
20,0.13511363,"abs((((x10 ^ 1.1988766) / x8) - ((0.15539376 - cos(x9)) ^ x3)) - (cos(x9 + x3) / x3))"
