Complexity,Loss,Equation
1,0.33305454,"0.5265471"
3,0.3259738,"abs(cos(x9))"
5,0.3172171,"abs(cos(x8 ^ x3))"
7,0.31431195,"abs(cos(x8 ^ x3) * 1.3205508)"
8,0.31283048,"abs(log(x1) * cos(x8 ^ x3))"
9,0.30979034,"abs(cos(x8 ^ x3) * -1.2579317) ^ 2.1679819"
10,0.30933782,"(abs(cos(x8 ^ x3)) ^ sqrt(x3)) * 1.5806522"
11,0.30245367,"abs((cos((x8 ^ x3) * -0.5897297) ^ x3) * -1.6971229)"
12,0.30087686,"(abs(-0.11073781) + abs(cos(-0.5897297 * (x8 ^ x3)))) ^ x3"
13,0.2983788,"(abs(cos((x8 ^ x3) * -0.5897297)) ^ log(x4)) * log(x7)"
14,0.2962483,"0.18320987 + ((abs(cos((x8 ^ x3) * -0.5897297)) ^ x7) * log(x7))"
15,0.2930839,"((abs(cos((x8 ^ x3) * -0.5897297)) ^ sqrt(x4)) * log(x7)) + 0.18320987"
16,0.29193935,"abs(log(x7) * ((abs(cos((x8 ^ x3) * -0.5897297)) ^ sqrt(x8)) + -0.11073781))"
17,0.28929594,"((abs(cos((x8 ^ x3) * -0.5897297)) ^ sqrt(x4)) * log(x7)) + (x10 / x8)"
18,0.28799435,"abs((x10 / x8) + (log(x7) * ((cos((x8 ^ x3) * -0.5897297) ^ x2) + -0.16741186)))"
19,0.28718588,"abs((x10 / x8) + (log(x7) * (abs(cos((x8 ^ x3) * -0.5897297) ^ x3) + -0.16741186)))"
20,0.2848827,"abs((x10 / x8) + (log(x7) * (cos(-1.800926) + abs(cos((x8 ^ x3) * -0.5897297) ^ x3))))"
