Complexity,Loss,Equation
1,0.30601346,"0.45276004"
3,0.29507482,"x2 / x8"
5,0.29421622,"x2 / (x8 ^ 0.9311203)"
6,0.2906293,"abs(cos(exp(x8 - x10)))"
8,0.28972048,"abs(cos(exp(x8 - x10))) ^ 1.5352244"
9,0.28803822,"abs(cos(exp(x8 - x10))) ^ log(x0)"
10,0.2814014,"abs((cos(exp(x8 - x10)) ^ x0) + 0.2780051)"
12,0.27813992,"abs(((cos(exp(x8 - x10)) * 1.0775212) ^ x0) - -0.22113985)"
13,0.27613294,"((abs(cos(exp(x8 - x10))) ^ x8) * log(x10)) - -0.26502284"
14,0.27610278,"(abs(log(x10)) * (abs(cos(exp(x8 - x10))) ^ x8)) - -0.26288676"
15,0.27276972,"(log(x10) * (abs(cos(exp(x8 - x10))) ^ (x8 - x10))) - -0.2343394"
16,0.27257088,"abs(sqrt(x10) * (0.14238477 - (abs(cos(exp(x8 - x10))) ^ (x8 - x10))))"
17,0.2692643,"(((abs(cos(exp(x8 - x10))) ^ (x8 - x10)) ^ x3) * log(x10)) - -0.28851426"
18,0.26880273,"(log(x10) * sqrt((abs(cos(exp(x8 - x10))) ^ (x8 - x10)) ^ x10)) - -0.2806593"
19,0.2687753,"(sqrt((abs(cos(exp(x8 - x10))) ^ (x8 - x10)) ^ x10) * abs(log(x10))) - -0.27769384"
20,0.26871023,"((sqrt((abs(cos(exp(x8 - x10))) ^ (x8 - x10)) ^ x10) * log(x10)) - -0.28851426) / 0.96564907"
