Complexity,Loss,Equation
1,0.52723336,"0.6342165"
3,0.52447313,"x2 * 0.08562154"
4,0.5155547,"sqrt(x2 / x8)"
5,0.50806457,"(x2 / x8) + 0.23807561"
7,0.5063826,"(x8 / x4) + (x2 / x8)"
9,0.50562805,"abs(sin(((-0.01285161 * x0) + 0.44559798) * x4))"
11,0.5039764,"abs(sin((((-0.01285161 * x0) + 0.44559798) * x4) - x11))"
12,0.50022644,"abs(sqrt(x11) - sin(x4 * ((x0 * -0.01285161) + 0.44559798)))"
13,0.49890146,"abs(sin(((-0.012960359 * x0) + 0.44617128) * x4) * (1.0869244 - x11))"
15,0.49788085,"abs((x11 - (1.0356492 ^ x0)) * sin(x4 * ((x0 * -0.012960359) + 0.44617128)))"
17,0.4974039,"abs(((x11 * 1.1356491) - (1.0356492 ^ x0)) * sin(x4 * ((x0 * -0.012960359) + 0.44617128)))"
18,0.4913936,"sqrt(abs(sin(x0) * ((1.0610021 - sin(x0 + ((x2 / -0.41694853) - x5))) - cos(x8))))"
