Complexity,Loss,Equation
1,1.09822,"0.28516844"
3,1.0551904,"abs(cos(x9))"
5,1.021832,"abs(cos(x9)) ^ x3"
6,1.0080377,"(0.007115042 ^ cos(x9)) * 0.01397029"
7,0.98410434,"abs((cos(x9) - 0.15844) ^ x3)"
9,0.9781964,"abs((x11 + (cos(x9) - 0.15844004)) ^ x3)"
10,0.9764747,"abs((cos(x9) + (sqrt(x11) - 0.15844)) ^ x3)"
11,0.9762004,"abs(((sqrt(sqrt(x11)) - 0.15844) + cos(x9)) ^ x3)"
12,0.9508505,"abs(((cos(x9) * 1.2045186) ^ x3) * cos(x2 + 0.7139053))"
14,0.9350556,"abs(((cos(x9) * 1.1997252) ^ x3) * cos(x2 + (x1 / x3)))"
15,0.93294054,"abs(cos(log(x1 * 0.51079607) + x2) * ((cos(x9) * -1.2046343) ^ x3))"
17,0.9273838,"abs(cos(x1 * 3.8646398) * (((cos(x9) * -1.2222854) ^ x3) * cos(x2 + 0.7273303)))"
19,0.9259463,"abs(cos(x2 + log(x1 * 0.4991754)) * ((((x11 + cos(x9)) * -1.2525) ^ x3) * 0.7814099))"
20,0.91685236,"abs((cos(x2 + log(x1 * 0.4321452)) * ((cos(x9) * -1.2424475) ^ x3)) * cos(x2 + 1.0487546))"
21,0.9159197,"abs((cos(x2 + exp(x11)) * ((cos(x9) * -1.2387156) ^ x3)) * cos(x2 + log(x1 * 0.43265447)))"
22,0.9140744,"abs(((cos(x9) * -1.2395979) ^ x3) * (cos(exp(sqrt(x11)) + x2) * cos(x2 + log(x1 * 0.4322312))))"
23,0.9066795,"abs(cos(x2 + log(x1 * 0.4403664)) * (cos((x2 + 1.1079514) ^ log(x4)) * ((cos(x9) * -1.2691163) ^ x3)))"
25,0.9040581,"abs(cos(log(x1 * 0.4403664) + x2) * (cos((x2 + 1.1079514) ^ log(x4)) * ((x11 - (cos(x9) * -1.2691163)) ^ x3)))"
26,0.8979857,"abs(((cos(sqrt(x7) + 0.6769105) * cos(x2 + 1.0938497)) * cos(x2 + log(x1 * 0.43256462))) * ((cos(x9) * 1.2915516) ^ x3))"
27,0.8978634,"abs(((cos(x9) * 1.2883302) ^ x3) * ((cos(x2 + log(x1 * 0.43214107)) * cos(x2 + 1.0871377)) * cos(sqrt(abs(x7)) + 0.6742119)))"
30,0.8918152,"abs(((cos(1.0938497 + x2) * cos(sqrt(x7) + 0.6769105)) * cos(x2 + log(x1 * 0.43256462))) * ((-0.40310046 ^ x3) + ((1.2915516 * cos(x9)) ^ x3)))"
32,0.8902114,"abs(cos(sqrt(x7) + 0.6769105) * (((cos(x2 + 1.0938497) * cos(x2 + log(x1 * 0.43256462))) * ((cos(x9) * 1.2915516) ^ x3)) + ((-0.2831098 ^ x3) * 1.7853116)))"
