Complexity,Loss,Equation
1,0.24162613,"0.41840807"
3,0.23686841,"x2 / x8"
5,0.23535763,"(x10 / x8) + 0.23529163"
6,0.23484577,"exp((x10 / x8) + -0.9754275)"
9,0.23416005,"(x0 * (x2 * 0.004027589)) + (x10 / x8)"
11,0.23336294,"((x0 * (x2 + x2)) * 0.004027589) + (x10 / x8)"
13,0.23335935,"(x0 * (((x2 + -0.07490598) + x2) * 0.0040271822)) + (x10 / x8)"
15,0.23332377,"((x0 * (((x2 - 1.3008753) + -0.057346363) + x2)) * 0.004027589) + (x10 / x8)"
17,0.23295884,"((x10 + (x2 * 0.25078976)) + ((x0 * (x8 * 0.055680446)) + -2.181659)) / (x8 + -0.07619888)"
19,0.23259008,"(x10 + (log(log(x2 + 1.2850399)) + (((x0 * (x8 + x10)) * 0.055680446) + -2.4116483))) / x8"
