Complexity,Loss,Equation
1,11.115372,"0.539747"
3,11.0800495,"x2 / x8"
5,11.052794,"x2 / (x8 / 1.8791322)"
7,11.041874,"(x2 / (x8 / 3.0054915)) - 0.5480852"
9,10.995853,"(x2 * x2) / (x9 * (x8 / x2))"
11,10.986652,"((x2 * x2) / ((x9 * x8) / x2)) + x11"
13,10.986106,"(((x2 * x2) - 2.1411128) / ((x9 * x8) / x2)) + x11"
15,10.985783,"(((x2 * x2) - (x8 / x2)) / (x9 * (x8 / x2))) + x11"
17,10.98573,"(((x2 * x2) - ((x8 / x2) + 1.0705564)) / (x9 * (x8 / x2))) + x11"
19,10.985397,"((x2 * (x2 - (x8 / (x2 + (x0 * x1))))) / (x9 * (x8 / x2))) + x11"
21,10.97202,"(x2 * (x2 - (x8 / ((x2 * x2) - ((x8 / x2) * 1.0705564))))) / ((x9 * x8) / x2)"
23,10.962818,"(x2 * ((x2 - (x8 / ((x2 * x2) - ((1.0705564 * x8) / x2)))) / (x9 * (x8 / x2)))) + x11"
25,10.962497,"((x2 * ((x2 - (x8 / ((x2 * x2) - ((x8 / x2) * 1.0705564)))) + x11)) / (x9 * (x8 / x2))) + x11"
27,10.944847,"((x2 * (x2 - (0.62292755 - (x8 / ((x2 * x2) - ((x8 / x2) * 1.065127)))))) / (((x9 * x8) / x2) + -1.253913)) / 1.1380904"
