Complexity,Loss,Equation
1,12.781706,"0.71000594"
3,12.74541,"x2 / x8"
5,12.676623,"x2 / (x8 - 3.9263375)"
7,12.621266,"x2 / (x8 - (4.0469966 / x3))"
9,12.588196,"(-55.626328 / x3) / ((x2 * 6.8628845) - x4)"
11,12.5742855,"((-54.185555 / x3) / ((x2 * 6.872579) - x4)) + x11"
13,12.573609,"(x11 + ((-54.185555 / x3) / ((x2 * 6.872579) - x4))) + -0.10494066"
15,12.545114,"x2 * (((0.21386704 / x6) / (0.21395417 - ((0.21207999 / x5) / 0.0390955))) - -0.15148407)"
17,12.535595,"(x2 * (((0.21386772 / x6) / (0.21394804 - ((0.21208645 / x5) / 0.039095007))) - -0.14698578)) + x11"
21,12.515151,"(x2 * (((((0.22897217 * x3) / x6) / 0.52985287) / (0.21388353 - ((0.21215083 / x5) / 0.039095264))) - -1.1090518)) / x8"
23,12.487169,"(x2 * ((((x3 * 0.22897217) / (x6 / 0.52985287)) / ((0.21388353 - ((0.21215083 / x5) / 0.039095264)) / x0)) - -1.1090518)) / x8"
25,12.443431,"(x2 * ((((x3 * (0.32032195 / (x6 / 0.25008154))) / ((0.10979844 - ((0.28371474 / x5) / 0.031604677)) / x0)) - -1.9354596) / x8)) + x11"
27,12.436731,"(((x2 * ((x1 * ((0.32032195 / (x6 / 0.25008154)) / ((0.10979844 - ((0.28371474 / x5) / 0.031604677)) / x0))) - -1.9354596)) / x8) + x11) - 0.031604677"
