Complexity,Loss,Equation
1,1.2506683,"0.63276947"
3,1.245719,"x2 / x8"
5,1.2203233,"x7 / (x8 + -4.4371424)"
7,1.2158525,"(x5 / (x8 + -4.4371424)) / 8.708623"
9,1.2132437,"((x5 / (x8 + -4.4371424)) / 8.708623) + x11"
11,1.2119846,"((x5 / (x8 + -4.4409156)) / 8.716008) + (x11 / 0.64880365)"
13,1.2038591,"((-0.13983172 / (x1 + ((9.857076 / x8) + -4.405655))) / x8) / x1"
15,1.1936129,"(((-0.1398306 / ((x1 + (9.857076 / x8)) + -4.405655)) / x8) / x1) + 0.6229788"
17,1.181427,"(((x2 * x2) + (-0.13982272 / (-4.405655 + (x1 + (9.857076 / x8))))) / x8) / x1"
19,1.1765974,"(((x2 * x2) + (-0.13981253 / ((9.857076 / x8) + (x1 + -4.405655)))) / x8) / (x3 * 1.8492154)"
21,1.1739911,"((((x2 * x2) + (-0.13982272 / ((-4.405655 + x1) + (9.857076 / x8)))) / x8) / (1.8492147 * x3)) + x11"
