Complexity,Loss,Equation
1,3.6031597,"0.33915618"
3,3.5934525,"x2 / x8"
5,3.5847273,"(3.2394788 / x8) * x10"
7,3.5750415,"(x1 / x8) * (x10 + -1.4304029)"
9,3.4609337,"(x1 / ((x8 / x10) + -5.8208637)) / x9"
11,3.4171467,"(x10 + (0.7704489 / ((x8 / x10) + -5.822075))) / x8"
13,3.404974,"(x10 + (0.77045244 / ((x8 / x10) + -5.8220763))) / (x8 - -2.2336812)"
15,3.4042292,"((x2 * 1.3305023) + (0.7704489 / ((x8 / x10) + -5.822075))) / (x8 - -0.56492305)"
19,3.4013624,"((x10 + (x1 / ((x8 / x10) + -5.8208637))) / (x8 / ((x10 + -0.3699151) * 0.19629185))) - -0.49731925"
21,3.400243,"((x10 + (x1 / ((x8 / x10) + -5.8208637))) / (x8 / ((x10 + -0.3699151) * (0.19629185 - x11)))) - -0.49731925"
