Complexity,Loss,Equation
1,3.7899303,"0.6676985"
3,3.7795467,"x2 / x8"
5,3.7661293,"(x10 * x1) / x8"
7,3.738242,"x2 * (x10 / (x3 * x8))"
9,3.7338784,"(x2 * (x10 / (x3 * x8))) + x11"
11,3.7278423,"(x10 * x2) / (x3 * (x8 + (x11 / -0.25109854)))"
13,3.725101,"((x10 * (x2 * 2.200244)) / ((x3 - -1.2424167) * x8)) + x11"
15,3.7228951,"(x11 / 0.65681016) + ((x10 * x2) * (2.24468 / ((x3 - -1.3191576) * x8)))"
17,3.7212176,"((x10 * (x2 * 2.2278981)) / ((x3 - -1.2832235) * x8)) + (x11 / (x3 + -1.346364))"
19,3.719006,"(((x10 / ((x3 - -2.1451387) * x8)) * (x0 + (-1.4680166 - (x2 * -1.4680166)))) + x11) * 1.5115014"
21,3.718102,"((x10 / ((x8 + -0.26843765) * (x3 - -2.1451387))) * ((x0 + x10) - (x2 * -1.4680166))) + (x11 * 1.5115014)"
23,3.7176461,"(x11 / (x10 / x0)) + ((x10 * ((x10 + x0) - (x2 * -1.4707594))) / ((x8 + -0.25816107) * (x3 - -2.1219656)))"
25,3.7172854,"((x10 * ((x10 + x0) - (x2 * -1.4365213))) / ((x8 + -0.300168) * (x3 - -2.1524723))) + (x11 / ((x10 / x0) - 0.040878564))"
