Complexity,Loss,Equation
1,2.4793112,"0.6165319"
3,2.4698203,"x2 / x8"
5,2.4226274,"x2 / (x8 - 3.933842)"
7,2.4096048,"(x5 * 0.1255343) / (-4.4220676 + x8)"
9,2.4043872,"(x5 * (0.1255343 / (x8 + -4.4220676))) + x11"
11,2.4019923,"(x11 / 0.64066464) + ((x5 * 0.12396859) / (x8 + -4.4269733))"
13,2.4014847,"(x5 * (0.12396859 / (x8 + -4.4269733))) + ((x11 - 0.058564145) / 0.64066464)"
15,2.398422,"(-0.087960124 / ((x9 / 16.224121) + -0.9335266)) + ((x5 * 0.12553442) / (x8 + -4.422072))"
17,2.3932047,"((-0.087960124 / ((x9 / 16.224121) + -0.9335266)) + x11) + ((x5 * 0.12553442) / (x8 + -4.422072))"
19,2.3930457,"((-0.087960124 / ((x9 / 16.224121) + -0.9335266)) + ((x11 + (x5 * 0.12553442)) / (x8 + -4.422072))) + x11"
21,2.39303,"(((-0.087960124 / ((x9 / 16.224121) + -0.9335266)) + ((x11 + (x5 * 0.12553442)) / (x8 + -4.422072))) + x11) - -0.023661293"
23,2.3913968,"((0.27387175 / ((x8 + x8) * (-0.20782833 / x10))) * (((x5 + x10) * -0.26688668) / (x8 + -3.9833777))) + (x11 - -0.21088746)"
