Complexity,Loss,Equation
1,12.15898,"0.3301541"
3,12.125464,"x2 / x8"
5,12.094414,"x10 / (x8 + -1.6714395)"
7,12.060411,"x10 / (x8 / (x1 + -1.8379054))"
9,9.754267,"0.3512083 / (((x8 / x10) / -0.20786494) + x9)"
11,9.4772005,"(x0 * 0.048745595) / (((x8 / x10) / -0.20786494) + x9)"
13,9.461936,"(x0 * (0.048745595 / (((x8 / x10) / -0.20786494) + x9))) + 0.4241378"
15,9.422196,"((x10 / x8) + (0.048745595 / (x9 + ((x8 / x10) / -0.20786494)))) * x0"
17,9.374824,"((x10 / (x8 * 1.7579128)) + (0.048745595 / (x9 + ((x8 / x10) / -0.20786494)))) * x0"
19,9.373676,"(((x10 / (x8 * 1.7579128)) + (0.048745595 / (x9 + ((x8 / x10) / -0.20786494)))) * x0) - 0.072570555"
23,9.363885,"((x2 * 0.0487456) / (((x8 / x10) / -0.20786493) + x9)) + ((x7 / x4) / (((x8 / x10) / x9) + x11))"
25,9.208676,"((x8 / (x0 - (x9 + ((x8 / x10) / -0.20786498)))) / x8) + (x0 * (0.04874558 / (((x8 / x10) / -0.20786496) + x9)))"
27,9.003576,"((x0 * 0.04874558) / (((x8 / x10) / -0.20786496) + x9)) + (((x9 + x8) / (x0 - (x9 + ((x8 / x10) / -0.20786498)))) / x9)"
29,8.911301,"((((x9 + x8) / (x0 - (x9 + ((x8 / x10) / -0.20786498)))) / x9) + ((x0 * 0.04874558) / (((x8 / x10) / -0.20786496) + x9))) + 0.7056928"
