Complexity,Loss,Equation
1,12.781706,"0.70997614"
3,12.74541,"x2 / x8"
5,12.676577,"x2 / (x8 - 3.9268665)"
7,12.602195,"((x2 / x8) * x10) / x3"
9,12.587649,"((x2 / x8) * (x10 / x3)) + x11"
11,12.574756,"((x11 / 0.31680465) + ((x10 * x2) / x8)) / x3"
13,12.563219,"x11 - ((((x10 / x8) * x2) / (x3 + 1.1912572)) / -0.46492317)"
15,12.551773,"(((x11 * -2.295734) - (x2 * (x10 / x8))) / (x3 + 1.2348666)) / -0.46082276"
17,12.543006,"(((x11 * (x11 * -0.3560233)) - (x2 * (x10 / x8))) / (x3 + 1.175617)) / -0.46649638"
19,12.532966,"((((x11 * x2) - x10) * (x2 * (7.5055094 / x8))) / (x3 + 1.2147392)) / (x11 + -3.4724085)"
21,12.532923,"(((((x11 * x2) - x10) * ((x2 * 7.505195) / x8)) / (x3 + 1.2146678)) / (x11 + -3.4732316)) + -0.032792106"
23,12.529183,"(((((((x2 * x11) - x10) * 7.8892856) / x8) * x2) - (-3.4971628 / x7)) / (x3 + 1.4157814)) / (x11 + -3.4971628)"
25,12.504109,"(((((((x10 * x2) * -4.8159075) / (x8 - (-2.5043364 / (8.235751 - x7)))) / x3) + 1.2652568) / (1.1840485 + -3.6623092)) * 0.51685774) - -0.66358995"
27,12.4701605,"(((((((x11 - x10) * (x2 * 8.235751)) / (x8 - (-2.5005834 / (8.235468 - x7)))) / x3) + x10) / (x11 + -3.6623337)) * 0.5166921) - -0.6635584"
29,12.453209,"(((((((x2 * (x11 - (x10 - x11))) * 8.235744) / (x8 - (-2.5002766 / (8.235325 - x7)))) / x3) + x10) / (x11 + -3.6623476)) * 0.51661223) - -0.66355175"
