Complexity,Loss,Equation
1,1.2506683,"0.6322715"
3,1.245719,"x2 / x8"
5,1.2222654,"x2 / (x8 - 3.9306908)"
7,1.2196567,"(x2 / (x8 - 3.9306908)) + x11"
9,1.2172102,"(x10 * (x10 / x8)) * (x7 / x8)"
11,1.2146015,"(((x10 * x10) / x8) * (x7 / x8)) + x11"
13,1.2111375,"((((x5 / x8) / x8) * (x10 + -1.5126244)) / x8) * x10"
15,1.2084961,"(((x10 / x8) + -0.3139285) * (((x10 * x5) / x8) / x8)) - -0.49355248"
17,1.2058877,"((((((x10 / x8) + -0.3138126) * x10) * (x5 / x8)) / x8) + x11) - -0.49121976"
19,1.2051055,"((((-0.3126313 + (x10 / x8)) * x10) * (x5 / x8)) / x8) + ((x11 / 0.5428876) - -0.48770997)"
