Complexity,Loss,Equation
1,3.290217,"0.5338866"
3,3.2799578,"x2 / x8"
5,3.2615144,"x2 / (x8 - 3.9172635)"
7,3.2546241,"x10 * ((x2 / x8) / 2.2827861)"
9,3.251864,"(x10 * ((x2 / x8) / 2.2816052)) + x11"
11,3.234896,"(0.09395638 * x8) + (x10 * ((x10 / x8) - 0.56779027))"
13,3.2321303,"(x10 * ((x10 / x8) - 0.56963897)) + ((x8 * 0.09378386) + x11)"
15,3.231383,"(x8 * 0.10080558) + ((x11 + (x10 * ((x10 / x8) - 0.56871194))) / 0.90653366)"
17,3.2304842,"((x11 + ((x10 * ((x10 / x8) - 0.53582233)) + (x8 * 0.103707604))) * 1.1238229) - 0.4206001"
19,3.2276647,"((x10 * (x10 * (x10 / x8))) / (((x8 / x10) / 0.0471127) - (x5 * 0.12314624))) - -0.4041992"
21,3.2236419,"((x10 * ((x0 - -0.86657053) * (x10 / x8))) / (((x8 / x10) / 0.04927604) - (0.11327617 * x5))) - -0.28587714"
