Complexity,Loss,Equation
1,0.14558963,"0.47527614"
3,0.14049885,"x2 / x8"
5,0.1401703,"(x10 / x8) * 1.5480373"
7,0.13983846,"(x10 / x8) * (1.5480373 + x11)"
9,0.13932748,"(x10 * (x5 - -88.58879)) / (x8 * x4)"
11,0.13870157,"(x10 * (x5 - -69.89817)) / ((x4 * x8) - x4)"
13,0.13822713,"((x5 - (x8 - x4)) / ((x8 * x4) - x4)) * x10"
15,0.13788912,"(((x5 - x8) - (x8 - x4)) / ((x8 * x4) - x4)) * x10"
17,0.13766032,"(((x5 - (x8 - x4)) / ((x8 * x4) - x4)) * x10) + (x11 / x10)"
19,0.13745368,"(((x5 - (x8 - x4)) / ((x8 * x4) - x4)) * (x10 + x11)) + (x11 / x10)"
21,0.13721548,"(((x5 - (x8 - x4)) / ((x8 * x4) - x4)) * ((x10 + -0.25449455) + x11)) + (x11 / x10)"
