Complexity,Loss,Equation
1,0.28515613,"0.29679894"
3,0.28119978,"x10 / x8"
5,0.27790636,"(x10 / x8) + 0.14566365"
7,0.27723482,"((x10 / 3.673101) * x0) / x8"
9,0.27463007,"(x0 / ((x8 / x10) / 0.2233557)) + 0.14838286"
11,0.27387154,"((x0 / ((x8 / x10) / 0.22391161)) + 0.14425015) - x11"
13,0.2734669,"((x0 / ((x8 / x10) / 0.23888738)) + 0.16137843) - (x1 / x6)"
15,0.27297702,"(((x0 / ((x8 / x10) / 0.22391161)) + 0.14425015) - (x1 / x6)) - x11"
17,0.2726565,"((((x0 / ((x8 / x10) / 0.22391161)) + 0.14425015) - (x1 / x6)) - x11) / 0.9286891"
19,0.27231494,"(((((x0 / ((x8 / x10) / 0.22391161)) + 0.14425015) - (x10 / x6)) - x11) / 0.9286891) * 1.0113035"
