Complexity,Loss,Equation
1,0.29272968,"0.5225088"
3,0.28866532,"x5 * 0.0051548937"
5,0.28196386,"-2.3439302 / (x2 - 12.912857)"
7,0.28047633,"(-0.72829366 / (x2 - 13.734453)) * x1"
9,0.2799117,"((x11 + x1) * -0.7612759) / (x2 - 13.814392)"
11,0.27782723,"(((3.6723065 / x3) + x1) * -0.5292668) / (x2 - 13.451002)"
13,0.2773439,"((((3.8672469 / x3) + x11) + x1) * -0.5201253) / (x2 - 13.4249325)"
15,0.27711654,"((((2.938756 / x3) + x1) + x11) * (-0.9344005 / (x2 - 14.217956))) + -0.2505405"
17,0.27702767,"((-0.96989524 / (x2 - 14.189456)) * ((2.9631727 / x3) + ((x1 + x11) * 0.9356214))) + -0.2399096"
21,0.27688652,"-0.2505405 + ((((((2.938756 / x3) + (0.9746854 * x1)) + x11) + x11) * (-0.9344005 / (x2 - 14.217956))) + 0.045421664)"
