Complexity,Loss,Equation
1,0.2694452,"0.46188277"
3,0.25961375,"x2 / x8"
5,0.25914356,"x2 / (x8 / 1.1156684)"
7,0.25756815,"x2 / (x8 + (x11 / -0.2666413))"
9,0.25601667,"(x10 - (x5 * -0.04098093)) / (x8 - 1.2768382)"
11,0.25299236,"((x10 - 1.7733682) / (x8 - 2.2899845)) + (x5 * 0.0036791957)"
13,0.2525701,"((x5 * 0.0059380964) + ((x10 + -1.6156533) / (x8 - 3.0772004))) / 1.5273422"
15,0.25254017,"((x5 * 0.0060213897) + ((x11 + (x10 - 1.8403274)) / (x8 - 3.105651))) / 1.5003403"
17,0.25141603,"((x5 * 0.009562075) + ((((x10 + x0) - x1) - 2.175688) / (x8 - 3.6355653))) / 2.3023531"
21,0.2510094,"((((-0.5758539 / x3) * x5) * ((-0.5309984 / x3) + 0.46743792)) - (x2 / x3)) * ((-0.192654 / x3) - 0.030828709)"
23,0.2508794,"((x5 * 0.0062696245) + ((((((x0 - x1) - 1.801458) + x10) + (x1 / x0)) - 1.801458) / (x8 - 3.1646574))) / 1.499049"
