Complexity,Loss,Equation
1,0.5003291,"0.57573694"
3,0.4980896,"x2 / 11.903835"
5,0.48955822,"(x1 * 0.02115019) * x2"
7,0.4895486,"(x1 * (x2 * 0.02089255)) - -0.008453075"
9,0.4865812,"x1 * (x2 * (0.012785944 - (-0.021063726 / x0)))"
11,0.4862074,"(x1 * (x2 * (0.012785944 - (-0.021063726 / x0)))) / 0.9737141"
13,0.48526165,"(x1 * (x2 * (0.012785944 - (-0.021063726 / x0)))) - (x10 / -39.01944)"
15,0.48170498,"((x2 * x1) * (1.016776 - (x0 / x0))) - ((x10 / x8) / -1.5562713)"
17,0.47802424,"(x1 * (x2 * (0.012785944 - (-0.021063726 / x0)))) - (x10 / ((x3 / x10) * -39.01944))"
19,0.47611383,"(x1 * (x2 * (0.012785944 - (-0.021063726 / x0)))) - (x10 / (((x3 * x3) / x10) * -39.01944))"
