Complexity,Loss,Equation
1,0.45668885,"0.55117506"
3,0.4481743,"x2 / x8"
5,0.43992457,"(x2 / x8) - -0.17793414"
7,0.43961692,"(x10 / x8) + (x8 * 0.018448504)"
9,0.43758917,"(x2 / x8) - ((x3 - x8) / x4)"
11,0.4304448,"((x2 / x8) - (0.17515826 / (x0 - 2.5312812))) + 0.2749048"
13,0.42924392,"(x2 / x8) - (((x8 / (x0 - 2.446419)) - x8) / x4)"
15,0.42893872,"(x2 / x8) - (((x8 / (x0 - 2.446419)) - x8) / (x4 + x3))"
17,0.4282585,"(x2 / (x8 / 1.0840852)) - ((((x8 - x3) / (x0 - 2.446419)) - x8) / x4)"
19,0.4279447,"(x2 / (x8 / 1.0840852)) - ((((x8 - x3) / (x0 - 2.446419)) - x8) / (x4 + x3))"
